home,away,Referee,time,hw,hd,hl,hscore,hconcede,HY,HR,hw2,hd2,hl2,hscore2,hconcede2,HY2,HR2,aw,ad,al,ascore,aconcede,AH,AR,aw2,ad2,al2,ascore2,aconcede2,AH2,AR2,y
Everton,Wigan,L Mason,15700.0,2.0,3.0,0.0,7.0,5.0,5.0,1.0,2.0,3.0,0.0,8.0,6.0,9.0,0.0,0.0,1.0,4.0,3.0,10.0,6.0,1.0,1.0,0.0,4.0,3.0,10.0,11.0,1.0,H
Fulham,Southampton,M Oliver,15700.0,1.0,1.0,3.0,3.0,10.0,4.0,0.0,2.0,1.0,2.0,6.0,9.0,5.0,1.0,2.0,1.0,2.0,4.0,3.0,3.0,0.0,1.0,0.0,4.0,5.0,11.0,2.0,0.0,D
Man United,Newcastle,M Dean,15700.0,4.0,1.0,0.0,12.0,7.0,9.0,0.0,5.0,0.0,0.0,13.0,5.0,8.0,0.0,2.0,0.0,3.0,7.0,7.0,9.0,0.0,0.0,2.0,3.0,4.0,8.0,9.0,2.0,H
Norwich,Chelsea,J Moss,15700.0,3.0,1.0,1.0,10.0,8.0,6.0,0.0,5.0,0.0,0.0,7.0,2.0,8.0,0.0,2.0,2.0,1.0,12.0,4.0,8.0,0.0,2.0,1.0,2.0,10.0,9.0,8.0,0.0,A
QPR,West Brom,C Foy,15700.0,1.0,3.0,1.0,5.0,5.0,8.0,0.0,1.0,3.0,1.0,6.0,7.0,5.0,0.0,1.0,1.0,3.0,3.0,7.0,11.0,0.0,2.0,0.0,3.0,8.0,10.0,16.0,0.0,A
Reading,Swansea,M Jones,15700.0,0.0,0.0,5.0,5.0,14.0,6.0,0.0,1.0,2.0,2.0,10.0,13.0,6.0,0.0,2.0,1.0,2.0,9.0,7.0,7.0,0.0,2.0,1.0,2.0,5.0,4.0,10.0,0.0,D
Stoke,Liverpool,H Webb,15700.0,2.0,3.0,0.0,4.0,2.0,12.0,1.0,3.0,2.0,0.0,5.0,2.0,8.0,0.0,3.0,0.0,2.0,10.0,7.0,8.0,0.0,1.0,3.0,1.0,7.0,7.0,10.0,0.0,H
Sunderland,Man City,K Friend,15700.0,2.0,0.0,3.0,7.0,8.0,8.0,0.0,1.0,1.0,3.0,6.0,8.0,8.0,0.0,3.0,1.0,1.0,9.0,5.0,11.0,0.0,3.0,2.0,0.0,7.0,2.0,9.0,1.0,H
Sunderland,Tottenham,L Mason,15703.0,3.0,0.0,2.0,7.0,6.0,7.0,0.0,2.0,1.0,2.0,7.0,7.0,7.0,0.0,3.0,1.0,1.0,9.0,2.0,8.0,0.0,2.0,0.0,3.0,11.0,9.0,8.0,1.0,A
Stoke,Southampton,M Clattenburg,15703.0,2.0,3.0,0.0,5.0,2.0,13.0,1.0,4.0,1.0,0.0,8.0,3.0,9.0,0.0,1.0,2.0,2.0,3.0,4.0,1.0,0.0,1.0,1.0,3.0,5.0,9.0,2.0,0.0,D
Reading,West Ham,M Oliver,15703.0,0.0,1.0,4.0,2.0,10.0,7.0,0.0,1.0,2.0,2.0,7.0,10.0,7.0,0.0,1.0,1.0,3.0,6.0,7.0,7.0,1.0,1.0,1.0,3.0,3.0,6.0,12.0,0.0,H
Norwich,Man City,M Jones,15703.0,3.0,0.0,2.0,9.0,8.0,6.0,0.0,4.0,0.0,1.0,6.0,3.0,5.0,0.0,2.0,1.0,2.0,7.0,6.0,13.0,0.0,2.0,2.0,1.0,5.0,2.0,9.0,0.0,A
Aston Villa,Wigan,K Friend,15703.0,1.0,2.0,2.0,4.0,14.0,5.0,0.0,1.0,2.0,2.0,3.0,7.0,4.0,0.0,0.0,1.0,4.0,4.0,10.0,8.0,1.0,1.0,0.0,4.0,3.0,10.0,11.0,1.0,A
Fulham,Swansea,A Marriner,15703.0,1.0,1.0,3.0,4.0,11.0,7.0,0.0,1.0,2.0,2.0,6.0,10.0,7.0,1.0,1.0,2.0,2.0,6.0,6.0,8.0,0.0,2.0,2.0,1.0,5.0,3.0,9.0,0.0,A
Arsenal,Newcastle,C Foy,15703.0,3.0,1.0,1.0,9.0,5.0,6.0,0.0,3.0,1.0,1.0,11.0,7.0,6.0,0.0,2.0,0.0,3.0,9.0,9.0,10.0,0.0,0.0,1.0,4.0,6.0,11.0,8.0,1.0,H
Man United,West Brom,J Moss,15703.0,4.0,1.0,0.0,15.0,10.0,11.0,0.0,5.0,0.0,0.0,13.0,6.0,10.0,0.0,2.0,1.0,2.0,4.0,5.0,7.0,0.0,3.0,0.0,2.0,9.0,9.0,14.0,0.0,H
Everton,Chelsea,H Webb,15704.0,3.0,2.0,0.0,8.0,5.0,4.0,1.0,3.0,2.0,0.0,8.0,5.0,6.0,0.0,3.0,1.0,1.0,13.0,4.0,9.0,0.0,2.0,1.0,2.0,7.0,7.0,7.0,0.0,A
QPR,Liverpool,A Taylor,15704.0,1.0,2.0,2.0,6.0,7.0,6.0,0.0,1.0,2.0,2.0,6.0,8.0,4.0,0.0,3.0,0.0,2.0,10.0,8.0,7.0,0.0,1.0,2.0,2.0,6.0,8.0,8.0,0.0,A
West Ham,Norwich,M Clattenburg,15706.0,1.0,1.0,3.0,6.0,7.0,10.0,1.0,1.0,2.0,2.0,7.0,7.0,7.0,1.0,2.0,0.0,3.0,10.0,11.0,9.0,0.0,1.0,3.0,1.0,7.0,7.0,7.0,0.0,H
Wigan,Man United,A Marriner,15706.0,1.0,1.0,3.0,7.0,7.0,7.0,0.0,1.0,1.0,3.0,6.0,9.0,5.0,0.0,4.0,1.0,0.0,13.0,7.0,11.0,0.0,3.0,1.0,1.0,11.0,9.0,10.0,0.0,A
West Brom,Fulham,M Dean,15706.0,2.0,1.0,2.0,4.0,6.0,7.0,0.0,3.0,1.0,1.0,6.0,3.0,5.0,0.0,1.0,1.0,3.0,5.0,10.0,9.0,0.0,0.0,2.0,3.0,4.0,10.0,7.0,0.0,A
Southampton,Arsenal,L Probert,15706.0,1.0,2.0,2.0,5.0,6.0,2.0,0.0,2.0,2.0,1.0,5.0,3.0,5.0,0.0,4.0,0.0,1.0,15.0,7.0,5.0,0.0,2.0,2.0,1.0,8.0,5.0,6.0,1.0,D
Swansea,Aston Villa,M Halsey,15706.0,1.0,2.0,2.0,6.0,7.0,9.0,0.0,1.0,3.0,1.0,8.0,7.0,9.0,0.0,1.0,1.0,3.0,3.0,16.0,6.0,0.0,2.0,1.0,2.0,5.0,15.0,8.0,0.0,D
Man City,Stoke,M Oliver,15706.0,3.0,0.0,2.0,10.0,8.0,12.0,1.0,3.0,1.0,1.0,11.0,5.0,9.0,0.0,1.0,4.0,0.0,7.0,5.0,11.0,2.0,1.0,3.0,1.0,2.0,2.0,14.0,1.0,H
Tottenham,Reading,H Webb,15706.0,3.0,1.0,1.0,8.0,3.0,9.0,0.0,3.0,1.0,1.0,6.0,3.0,7.0,0.0,1.0,1.0,3.0,3.0,9.0,10.0,0.0,0.0,0.0,5.0,2.0,9.0,4.0,0.0,H
Chelsea,QPR,L Mason,15707.0,4.0,0.0,1.0,15.0,5.0,9.0,0.0,1.0,3.0,1.0,11.0,4.0,6.0,2.0,1.0,1.0,3.0,5.0,9.0,7.0,0.0,0.0,2.0,3.0,3.0,7.0,10.0,0.0,A
Liverpool,Sunderland,P Dowd,15707.0,3.0,0.0,2.0,12.0,8.0,6.0,0.0,3.0,1.0,1.0,10.0,4.0,4.0,0.0,3.0,0.0,2.0,7.0,5.0,7.0,0.0,2.0,0.0,3.0,7.0,8.0,11.0,0.0,H
Newcastle,Everton,M Atkinson,15707.0,1.0,0.0,4.0,9.0,16.0,10.0,0.0,2.0,0.0,3.0,6.0,6.0,9.0,0.0,3.0,1.0,1.0,8.0,6.0,5.0,1.0,1.0,3.0,1.0,7.0,7.0,4.0,1.0,A
Sunderland,West Ham,N Swarbrick,15717.0,2.0,0.0,3.0,4.0,8.0,6.0,0.0,2.0,1.0,2.0,6.0,5.0,6.0,0.0,1.0,1.0,3.0,5.0,7.0,9.0,1.0,1.0,1.0,3.0,2.0,5.0,12.0,0.0,H
Stoke,Chelsea,A Marriner,15717.0,1.0,3.0,1.0,7.0,8.0,12.0,1.0,3.0,2.0,0.0,10.0,6.0,8.0,1.0,4.0,0.0,1.0,14.0,3.0,8.0,0.0,3.0,0.0,2.0,8.0,7.0,9.0,0.0,A
Reading,West Brom,K Friend,15717.0,1.0,1.0,3.0,4.0,9.0,9.0,0.0,2.0,1.0,2.0,8.0,10.0,10.0,0.0,2.0,1.0,2.0,5.0,6.0,4.0,0.0,2.0,0.0,3.0,7.0,10.0,10.0,0.0,H
