home,away,Referee,time,hw,hd,hl,hscore,hconcede,HY,HR,hw2,hd2,hl2,hscore2,hconcede2,HY2,HR2,aw,ad,al,ascore,aconcede,AH,AR,aw2,ad2,al2,ascore2,aconcede2,AH2,AR2,y
Crystal Palace,West Ham,M Clattenburg,16305.0,1.0,2.0,2.0,7.0,9.0,9.0,1.0,2.0,1.0,2.0,5.0,6.0,10.0,0.0,1.0,0.0,4.0,2.0,5.0,5.0,1.0,1.0,0.0,4.0,4.0,10.0,10.0,0.0,A
Everton,Arsenal,K Friend,16305.0,2.0,1.0,2.0,8.0,7.0,6.0,0.0,3.0,0.0,2.0,12.0,8.0,4.0,0.0,5.0,0.0,0.0,11.0,1.0,8.0,0.0,3.0,0.0,2.0,6.0,9.0,7.0,1.0,D
Southampton,West Brom,R East,16305.0,2.0,2.0,1.0,5.0,3.0,8.0,0.0,3.0,1.0,1.0,11.0,4.0,4.0,0.0,1.0,1.0,3.0,4.0,7.0,5.0,0.0,1.0,0.0,4.0,2.0,8.0,3.0,0.0,D
Sunderland,Man United,M Atkinson,16306.0,3.0,1.0,1.0,10.0,5.0,9.0,0.0,2.0,0.0,3.0,8.0,6.0,12.0,0.0,2.0,1.0,2.0,9.0,5.0,8.0,0.0,3.0,1.0,1.0,10.0,3.0,7.0,0.0,D
Tottenham,QPR,A Taylor,16306.0,4.0,0.0,1.0,8.0,3.0,7.0,2.0,4.0,0.0,1.0,14.0,5.0,7.0,0.0,0.0,1.0,4.0,1.0,5.0,9.0,0.0,0.0,1.0,4.0,4.0,9.0,11.0,0.0,H
Hull,Stoke,J Moss,16306.0,1.0,1.0,3.0,5.0,10.0,6.0,0.0,2.0,0.0,3.0,3.0,7.0,5.0,0.0,2.0,1.0,2.0,7.0,5.0,4.0,1.0,2.0,2.0,1.0,8.0,7.0,6.0,1.0,D
Man City,Liverpool,M Oliver,16307.0,5.0,0.0,0.0,13.0,2.0,12.0,0.0,4.0,1.0,0.0,15.0,4.0,8.0,0.0,3.0,1.0,1.0,10.0,9.0,7.0,0.0,4.0,1.0,0.0,17.0,9.0,12.0,0.0,H
Everton,Chelsea,J Moss,16312.0,1.0,2.0,2.0,8.0,9.0,5.0,0.0,2.0,1.0,2.0,11.0,8.0,5.0,0.0,4.0,1.0,0.0,9.0,2.0,8.0,0.0,4.0,0.0,1.0,8.0,3.0,10.0,0.0,A
Man City,Stoke,L Mason,16312.0,5.0,0.0,0.0,14.0,3.0,12.0,0.0,4.0,1.0,0.0,14.0,4.0,6.0,0.0,2.0,1.0,2.0,7.0,5.0,4.0,1.0,2.0,2.0,1.0,8.0,7.0,7.0,0.0,A
Newcastle,Crystal Palace,M Jones,16312.0,1.0,1.0,3.0,4.0,7.0,7.0,3.0,1.0,0.0,4.0,4.0,11.0,5.0,0.0,0.0,2.0,3.0,7.0,12.0,9.0,1.0,3.0,1.0,1.0,10.0,6.0,10.0,1.0,D
QPR,Sunderland,R Madley,16312.0,0.0,0.0,5.0,1.0,9.0,8.0,0.0,0.0,1.0,4.0,2.0,7.0,7.0,1.0,2.0,2.0,1.0,7.0,6.0,4.0,0.0,2.0,2.0,1.0,8.0,10.0,8.0,0.0,H
Swansea,West Brom,P Tierney,16312.0,4.0,0.0,1.0,10.0,4.0,11.0,0.0,3.0,0.0,2.0,8.0,3.0,5.0,1.0,0.0,2.0,3.0,3.0,7.0,7.0,0.0,1.0,1.0,3.0,2.0,6.0,5.0,0.0,H
West Ham,Southampton,M Dean,16312.0,2.0,0.0,3.0,5.0,5.0,7.0,1.0,2.0,0.0,3.0,5.0,5.0,6.0,1.0,2.0,2.0,1.0,5.0,3.0,7.0,0.0,1.0,1.0,3.0,5.0,9.0,7.0,0.0,A
Tottenham,Liverpool,P Dowd,16313.0,4.0,0.0,1.0,9.0,2.0,7.0,2.0,5.0,0.0,0.0,18.0,4.0,2.0,0.0,2.0,1.0,2.0,8.0,10.0,6.0,0.0,3.0,1.0,1.0,15.0,12.0,9.0,0.0,A
Aston Villa,Hull,M Clattenburg,16313.0,2.0,1.0,2.0,4.0,8.0,9.0,0.0,1.0,2.0,2.0,5.0,7.0,12.0,0.0,1.0,1.0,3.0,4.0,9.0,4.0,1.0,1.0,1.0,3.0,5.0,9.0,6.0,0.0,H
Arsenal,Man City,M Clattenburg,16326.0,3.0,2.0,0.0,8.0,4.0,9.0,0.0,4.0,1.0,0.0,10.0,3.0,10.0,0.0,4.0,0.0,1.0,11.0,2.0,11.0,0.0,3.0,1.0,1.0,10.0,6.0,16.0,0.0,D
Chelsea,Swansea,K Friend,16326.0,4.0,1.0,0.0,13.0,5.0,7.0,0.0,3.0,1.0,1.0,12.0,2.0,2.0,0.0,4.0,0.0,1.0,9.0,3.0,11.0,0.0,3.0,1.0,1.0,9.0,6.0,10.0,0.0,H
Liverpool,Aston Villa,L Mason,16326.0,3.0,1.0,1.0,11.0,8.0,10.0,0.0,4.0,0.0,1.0,11.0,6.0,3.0,1.0,2.0,1.0,2.0,3.0,8.0,10.0,0.0,1.0,0.0,4.0,2.0,12.0,10.0,0.0,A
Southampton,Newcastle,C Foy,16326.0,2.0,2.0,1.0,6.0,4.0,8.0,0.0,2.0,2.0,1.0,7.0,2.0,4.0,0.0,1.0,2.0,2.0,7.0,7.0,6.0,3.0,0.0,1.0,4.0,1.0,10.0,7.0,3.0,H
Sunderland,Tottenham,C Pawson,16326.0,1.0,2.0,2.0,6.0,7.0,5.0,0.0,2.0,1.0,2.0,8.0,5.0,10.0,0.0,3.0,0.0,2.0,8.0,5.0,5.0,2.0,2.0,1.0,2.0,5.0,9.0,10.0,2.0,D
West Brom,Everton,A Taylor,16326.0,0.0,2.0,3.0,3.0,9.0,7.0,0.0,1.0,3.0,1.0,10.0,10.0,8.0,0.0,1.0,2.0,2.0,11.0,13.0,4.0,0.0,3.0,1.0,1.0,8.0,5.0,7.0,0.0,A
Man United,QPR,P Dowd,16327.0,1.0,3.0,1.0,6.0,5.0,9.0,0.0,3.0,0.0,2.0,12.0,5.0,8.0,0.0,1.0,0.0,4.0,2.0,8.0,7.0,0.0,0.0,1.0,4.0,2.0,10.0,10.0,0.0,H
Hull,West Ham,M Atkinson,16328.0,1.0,1.0,3.0,4.0,8.0,8.0,1.0,2.0,1.0,2.0,4.0,6.0,4.0,1.0,2.0,0.0,3.0,6.0,7.0,8.0,1.0,2.0,0.0,3.0,6.0,8.0,12.0,0.0,D
West Ham,Liverpool,C Pawson,16333.0,1.0,1.0,3.0,6.0,9.0,9.0,1.0,1.0,0.0,4.0,4.0,7.0,8.0,1.0,3.0,0.0,2.0,8.0,6.0,9.0,0.0,3.0,1.0,1.0,12.0,9.0,10.0,0.0,H
Swansea,Southampton,J Moss,16333.0,4.0,0.0,1.0,11.0,6.0,13.0,0.0,3.0,0.0,2.0,8.0,3.0,5.0,1.0,2.0,2.0,1.0,9.0,4.0,7.0,0.0,2.0,1.0,2.0,6.0,7.0,6.0,0.0,A
QPR,Stoke,M Atkinson,16333.0,1.0,0.0,4.0,1.0,10.0,6.0,0.0,1.0,0.0,4.0,2.0,6.0,6.0,0.0,2.0,1.0,2.0,4.0,4.0,7.0,0.0,2.0,2.0,1.0,5.0,6.0,7.0,0.0,D
Newcastle,Hull,N Swarbrick,16333.0,0.0,2.0,3.0,4.0,11.0,7.0,3.0,1.0,1.0,3.0,7.0,11.0,6.0,0.0,1.0,2.0,2.0,5.0,7.0,10.0,1.0,1.0,1.0,3.0,6.0,10.0,10.0,0.0,D
Aston Villa,Arsenal,M Jones,16333.0,3.0,1.0,1.0,4.0,4.0,9.0,0.0,2.0,2.0,1.0,6.0,4.0,8.0,0.0,2.0,3.0,0.0,9.0,6.0,10.0,0.0,2.0,2.0,1.0,8.0,6.0,8.0,0.0,A
Everton,Crystal Palace,M Oliver,16334.0,2.0,2.0,1.0,11.0,10.0,7.0,0.0,1.0,1.0,3.0,11.0,14.0,5.0,0.0,0.0,3.0,2.0,7.0,10.0,9.0,1.0,2.0,2.0,1.0,10.0,9.0,9.0,1.0,A
Man City,Chelsea,M Dean,16334.0,3.0,1.0,1.0,9.0,4.0,14.0,0.0,4.0,0.0,1.0,12.0,3.0,7.0,0.0,5.0,0.0,0.0,17.0,7.0,6.0,0.0,5.0,0.0,0.0,14.0,5.0,12.0,0.0,D
Tottenham,West Brom,K Friend,16334.0,3.0,1.0,1.0,10.0,5.0,2.0,1.0,4.0,0.0,1.0,15.0,5.0,1.0,0.0,0.0,2.0,3.0,3.0,9.0,9.0,0.0,0.0,1.0,4.0,1.0,9.0,7.0,0.0,A
Sunderland,Swansea,C Foy,16340.0,0.0,4.0,1.0,5.0,6.0,10.0,0.0,2.0,2.0,1.0,10.0,6.0,12.0,0.0,3.0,0.0,2.0,8.0,6.0,10.0,1.0,3.0,0.0,2.0,9.0,8.0,12.0,0.0,D
Southampton,QPR,M Clattenburg,16340.0,3.0,1.0,1.0,9.0,3.0,8.0,0.0,2.0,2.0,1.0,7.0,2.0,4.0,0.0,1.0,1.0,3.0,3.0,11.0,5.0,0.0,0.0,1.0,4.0,0.0,11.0,9.0,0.0,H
Man United,West Ham,L Mason,16340.0,1.0,2.0,2.0,9.0,8.0,8.0,1.0,3.0,0.0,2.0,12.0,4.0,7.0,0.0,2.0,1.0,2.0,9.0,8.0,11.0,1.0,1.0,1.0,3.0,6.0,9.0,9.0,0.0,H
Liverpool,Everton,M Atkinson,16340.0,2.0,0.0,3.0,7.0,8.0,9.0,0.0,3.0,0.0,2.0,7.0,7.0,5.0,1.0,1.0,2.0,2.0,11.0,13.0,8.0,0.0,3.0,1.0,1.0,7.0,4.0,8.0,0.0,D
Chelsea,Aston Villa,P Dowd,16340.0,4.0,1.0,0.0,16.0,7.0,8.0,0.0,3.0,1.0,1.0,10.0,4.0,2.0,0.0,3.0,1.0,1.0,4.0,4.0,10.0,0.0,2.0,0.0,3.0,3.0,11.0,9.0,0.0,H
Arsenal,Tottenham,M Oliver,16340.0,2.0,3.0,0.0,10.0,6.0,13.0,0.0,4.0,1.0,0.0,11.0,4.0,12.0,0.0,2.0,1.0,2.0,7.0,6.0,3.0,1.0,2.0,2.0,1.0,7.0,7.0,9.0,2.0,D
Hull,Man City,A Taylor,16340.0,1.0,3.0,1.0,7.0,7.0,12.0,1.0,1.0,2.0,2.0,4.0,8.0,5.0,1.0,2.0,2.0,1.0,8.0,5.0,15.0,1.0,3.0,1.0,1.0,11.0,7.0,16.0,0.0,A
Stoke,Newcastle,C Pawson,16342.0,1.0,2.0,2.0,4.0,5.0,11.0,0.0,2.0,0.0,3.0,5.0,4.0,5.0,1.0,0.0,3.0,2.0,5.0,11.0,8.0,1.0,0.0,1.0,4.0,1.0,10.0,8.0,3.0,H
Sunderland,Stoke,N Swarbrick,16347.0,0.0,4.0,1.0,3.0,4.0,11.0,0.0,1.0,3.0,1.0,6.0,6.0,9.0,0.0,2.0,2.0,1.0,5.0,4.0,12.0,0.0,2.0,3.0,0.0,7.0,5.0,11.0,0.0,H
Liverpool,West Brom,M Oliver,16347.0,1.0,1.0,3.0,6.0,8.0,10.0,0.0,2.0,1.0,2.0,5.0,6.0,6.0,0.0,2.0,1.0,2.0,5.0,5.0,9.0,0.0,1.0,1.0,3.0,1.0,6.0,8.0,0.0,H
Swansea,Newcastle,L Mason,16347.0,2.0,1.0,2.0,6.0,5.0,7.0,2.0,3.0,0.0,2.0,8.0,3.0,5.0,1.0,0.0,3.0,2.0,5.0,10.0,9.0,1.0,0.0,1.0,4.0,1.0,10.0,9.0,3.0,D
Hull,Crystal Palace,M Dean,16347.0,0.0,3.0,2.0,8.0,11.0,10.0,1.0,0.0,2.0,3.0,5.0,12.0,5.0,1.0,2.0,2.0,1.0,9.0,8.0,8.0,0.0,2.0,2.0,1.0,10.0,9.0,9.0,1.0,H
Aston Villa,Man City,C Foy,16347.0,2.0,1.0,2.0,3.0,7.0,9.0,0.0,2.0,2.0,1.0,5.0,5.0,6.0,0.0,2.0,2.0,1.0,10.0,7.0,12.0,1.0,4.0,1.0,0.0,13.0,6.0,15.0,0.0,A
Chelsea,Arsenal,M Atkinson,16348.0,4.0,1.0,0.0,16.0,6.0,9.0,0.0,3.0,1.0,1.0,10.0,4.0,4.0,0.0,1.0,4.0,0.0,9.0,6.0,14.0,0.0,3.0,2.0,0.0,11.0,3.0,9.0,0.0,H
Man United,Everton,K Friend,16348.0,2.0,2.0,1.0,10.0,7.0,7.0,2.0,3.0,0.0,2.0,10.0,5.0,7.0,1.0,1.0,2.0,2.0,10.0,12.0,8.0,0.0,2.0,2.0,1.0,7.0,5.0,8.0,0.0,H
Tottenham,Southampton,M Jones,16348.0,1.0,2.0,2.0,7.0,7.0,9.0,0.0,3.0,0.0,2.0,10.0,5.0,3.0,0.0,4.0,1.0,0.0,10.0,2.0,8.0,0.0,3.0,1.0,1.0,6.0,3.0,10.0,0.0,H
West Ham,QPR,A Taylor,16348.0,2.0,1.0,2.0,10.0,9.0,13.0,0.0,2.0,0.0,3.0,6.0,6.0,8.0,1.0,1.0,1.0,3.0,4.0,12.0,5.0,0.0,0.0,1.0,4.0,1.0,11.0,7.0,0.0,H
Southampton,Sunderland,A Marriner,16361.0,4.0,0.0,1.0,10.0,3.0,8.0,0.0,3.0,2.0,0.0,9.0,2.0,6.0,0.0,1.0,3.0,1.0,5.0,4.0,14.0,0.0,2.0,2.0,1.0,5.0,4.0,8.0,0.0,H
Man City,Tottenham,J Moss,16361.0,2.0,2.0,1.0,9.0,6.0,12.0,1.0,3.0,1.0,1.0,10.0,3.0,9.0,1.0,1.0,2.0,2.0,4.0,7.0,11.0,0.0,2.0,2.0,1.0,5.0,5.0,13.0,2.0,H
Everton,Aston Villa,A Taylor,16361.0,1.0,1.0,3.0,9.0,12.0,10.0,0.0,1.0,1.0,3.0,11.0,14.0,6.0,0.0,2.0,0.0,3.0,3.0,9.0,5.0,0.0,2.0,0.0,3.0,2.0,10.0,8.0,0.0,H
Arsenal,Hull,R East,16361.0,1.0,3.0,1.0,7.0,6.0,13.0,0.0,3.0,2.0,0.0,9.0,4.0,13.0,0.0,1.0,2.0,2.0,9.0,10.0,10.0,0.0,1.0,1.0,3.0,6.0,10.0,9.0,0.0,D
Crystal Palace,Chelsea,C Pawson,16361.0,2.0,2.0,1.0,8.0,7.0,9.0,0.0,1.0,2.0,2.0,6.0,8.0,8.0,0.0,4.0,1.0,0.0,16.0,6.0,13.0,0.0,4.0,1.0,0.0,14.0,6.0,14.0,0.0,A
QPR,Liverpool,P Dowd,16362.0,1.0,1.0,3.0,4.0,10.0,6.0,0.0,1.0,1.0,3.0,4.0,6.0,7.0,0.0,2.0,1.0,2.0,7.0,6.0,11.0,0.0,2.0,1.0,2.0,11.0,11.0,11.0,0.0,A
Stoke,Swansea,M Oliver,16362.0,2.0,1.0,2.0,5.0,6.0,13.0,0.0,2.0,0.0,3.0,5.0,4.0,5.0,1.0,1.0,2.0,2.0,7.0,7.0,6.0,2.0,3.0,1.0,1.0,9.0,7.0,11.0,1.0,H
West Brom,Man United,M Dean,16363.0,2.0,0.0,3.0,6.0,7.0,9.0,0.0,2.0,1.0,2.0,8.0,6.0,6.0,0.0,3.0,1.0,1.0,11.0,7.0,9.0,2.0,0.0,3.0,2.0,5.0,9.0,9.0,1.0,D
Liverpool,Hull,N Swarbrick,16368.0,2.0,1.0,2.0,7.0,8.0,10.0,0.0,3.0,1.0,1.0,7.0,5.0,8.0,0.0,1.0,3.0,1.0,10.0,10.0,8.0,0.0,1.0,2.0,2.0,7.0,9.0,11.0,0.0,D
Southampton,Stoke,J Moss,16368.0,4.0,0.0,1.0,15.0,2.0,8.0,0.0,3.0,2.0,0.0,15.0,2.0,7.0,0.0,2.0,1.0,2.0,6.0,7.0,16.0,0.0,2.0,2.0,1.0,7.0,7.0,12.0,0.0,H
Sunderland,Arsenal,K Friend,16368.0,1.0,3.0,1.0,5.0,11.0,15.0,0.0,1.0,3.0,1.0,7.0,7.0,12.0,0.0,1.0,3.0,1.0,8.0,7.0,14.0,0.0,2.0,2.0,1.0,8.0,5.0,11.0,0.0,A
West Brom,Crystal Palace,M Clattenburg,16368.0,2.0,1.0,2.0,8.0,6.0,8.0,0.0,1.0,2.0,2.0,9.0,8.0,7.0,0.0,2.0,1.0,2.0,6.0,6.0,7.0,1.0,1.0,2.0,2.0,9.0,11.0,10.0,1.0,D
West Ham,Man City,M Atkinson,16368.0,3.0,1.0,1.0,11.0,6.0,11.0,0.0,3.0,0.0,2.0,8.0,5.0,9.0,1.0,3.0,2.0,0.0,13.0,6.0,11.0,1.0,4.0,1.0,0.0,13.0,6.0,15.0,0.0,H
Tottenham,Newcastle,A Taylor,16369.0,1.0,2.0,2.0,5.0,8.0,13.0,1.0,3.0,0.0,2.0,8.0,4.0,5.0,0.0,1.0,2.0,2.0,5.0,9.0,11.0,0.0,0.0,2.0,3.0,3.0,9.0,10.0,3.0,A
Man United,Chelsea,P Dowd,16369.0,3.0,1.0,1.0,13.0,9.0,9.0,2.0,4.0,0.0,1.0,12.0,5.0,9.0,1.0,4.0,1.0,0.0,12.0,4.0,11.0,1.0,4.0,1.0,0.0,14.0,7.0,11.0,1.0,D
QPR,Aston Villa,L Mason,16370.0,0.0,1.0,4.0,5.0,13.0,7.0,0.0,1.0,1.0,3.0,6.0,8.0,7.0,0.0,1.0,0.0,4.0,1.0,11.0,6.0,0.0,2.0,0.0,3.0,2.0,9.0,8.0,0.0,H
Chelsea,QPR,M Jones,16375.0,3.0,2.0,0.0,9.0,3.0,16.0,2.0,4.0,1.0,0.0,11.0,2.0,7.0,0.0,1.0,1.0,3.0,7.0,9.0,7.0,0.0,0.0,0.0,5.0,1.0,13.0,7.0,0.0,H
Everton,Swansea,K Friend,16375.0,2.0,1.0,2.0,10.0,7.0,10.0,0.0,1.0,1.0,3.0,12.0,14.0,6.0,0.0,1.0,2.0,2.0,5.0,5.0,3.0,2.0,2.0,1.0,2.0,8.0,8.0,12.0,1.0,D
Hull,Southampton,M Atkinson,16375.0,1.0,3.0,1.0,8.0,8.0,7.0,0.0,1.0,2.0,2.0,7.0,9.0,5.0,1.0,4.0,0.0,1.0,12.0,2.0,8.0,0.0,3.0,0.0,2.0,6.0,4.0,9.0,0.0,A
Newcastle,Liverpool,A Marriner,16375.0,2.0,2.0,1.0,7.0,6.0,13.0,0.0,2.0,2.0,1.0,9.0,7.0,7.0,0.0,2.0,2.0,1.0,7.0,7.0,11.0,0.0,2.0,1.0,2.0,11.0,11.0,12.0,0.0,H
Stoke,West Ham,C Foy,16375.0,2.0,1.0,2.0,6.0,7.0,15.0,0.0,3.0,0.0,2.0,7.0,4.0,8.0,0.0,4.0,0.0,1.0,11.0,5.0,12.0,0.0,2.0,1.0,2.0,9.0,8.0,10.0,0.0,D
Man City,Man United,M Oliver,16376.0,3.0,1.0,1.0,12.0,6.0,8.0,1.0,3.0,1.0,1.0,10.0,4.0,9.0,1.0,2.0,2.0,1.0,10.0,10.0,11.0,2.0,0.0,4.0,1.0,7.0,9.0,9.0,1.0,H
Aston Villa,Tottenham,N Swarbrick,16376.0,0.0,0.0,5.0,0.0,13.0,7.0,0.0,2.0,1.0,2.0,5.0,7.0,6.0,0.0,1.0,1.0,3.0,4.0,8.0,14.0,1.0,1.0,2.0,2.0,5.0,9.0,13.0,3.0,A
Crystal Palace,Sunderland,P Dowd,16377.0,2.0,1.0,2.0,8.0,8.0,6.0,1.0,1.0,2.0,2.0,7.0,8.0,6.0,1.0,1.0,2.0,2.0,3.0,11.0,13.0,0.0,1.0,2.0,2.0,3.0,11.0,9.0,0.0,A
Burnley,Hull,M Clattenburg,16382.0,0.0,1.0,4.0,4.0,15.0,9.0,0.0,0.0,2.0,3.0,3.0,9.0,8.0,0.0,1.0,2.0,2.0,6.0,7.0,6.0,0.0,1.0,3.0,1.0,6.0,6.0,12.0,0.0,H
Liverpool,Chelsea,A Taylor,16382.0,2.0,2.0,1.0,6.0,5.0,13.0,0.0,2.0,2.0,1.0,5.0,4.0,10.0,0.0,4.0,1.0,0.0,10.0,3.0,12.0,2.0,3.0,2.0,0.0,13.0,7.0,14.0,2.0,A
Man United,Crystal Palace,C Foy,16382.0,2.0,2.0,1.0,7.0,6.0,11.0,2.0,3.0,1.0,1.0,10.0,5.0,11.0,1.0,1.0,1.0,3.0,6.0,9.0,4.0,2.0,1.0,2.0,2.0,9.0,11.0,10.0,1.0,H
QPR,Man City,M Dean,16382.0,1.0,0.0,4.0,6.0,9.0,5.0,0.0,2.0,1.0,2.0,7.0,6.0,6.0,0.0,4.0,0.0,1.0,12.0,5.0,8.0,0.0,3.0,1.0,1.0,11.0,6.0,13.0,0.0,D
Southampton,Leicester,M Oliver,16382.0,4.0,0.0,1.0,12.0,2.0,4.0,0.0,4.0,1.0,0.0,15.0,1.0,4.0,0.0,0.0,1.0,4.0,2.0,8.0,7.0,0.0,1.0,0.0,4.0,1.0,7.0,6.0,0.0,H
West Ham,Aston Villa,J Moss,16382.0,3.0,1.0,1.0,10.0,6.0,9.0,0.0,3.0,0.0,2.0,8.0,6.0,11.0,1.0,0.0,0.0,5.0,1.0,12.0,9.0,1.0,2.0,0.0,3.0,2.0,8.0,10.0,0.0,D
Tottenham,Stoke,M Jones,16383.0,2.0,1.0,2.0,6.0,8.0,15.0,1.0,2.0,0.0,3.0,6.0,6.0,6.0,0.0,2.0,1.0,2.0,6.0,7.0,12.0,0.0,1.0,2.0,2.0,5.0,7.0,14.0,0.0,A
West Brom,Newcastle,C Pawson,16383.0,2.0,2.0,1.0,10.0,6.0,8.0,0.0,1.0,3.0,1.0,10.0,8.0,10.0,0.0,3.0,1.0,1.0,6.0,4.0,13.0,0.0,1.0,2.0,2.0,4.0,8.0,11.0,1.0,A
Sunderland,Everton,L Mason,16383.0,2.0,1.0,2.0,6.0,12.0,14.0,0.0,1.0,3.0,1.0,6.0,6.0,13.0,0.0,2.0,2.0,1.0,8.0,4.0,10.0,0.0,2.0,2.0,1.0,9.0,6.0,10.0,0.0,D
Swansea,Arsenal,P Dowd,16383.0,1.0,3.0,1.0,5.0,4.0,6.0,2.0,3.0,1.0,1.0,8.0,3.0,4.0,1.0,2.0,2.0,1.0,8.0,5.0,11.0,0.0,2.0,2.0,1.0,8.0,5.0,14.0,0.0,H
Arsenal,Man United,M Dean,16396.0,2.0,1.0,2.0,8.0,6.0,13.0,0.0,2.0,3.0,0.0,10.0,6.0,10.0,0.0,2.0,2.0,1.0,6.0,5.0,11.0,1.0,0.0,3.0,2.0,6.0,9.0,8.0,2.0,A
Chelsea,West Brom,L Mason,16396.0,4.0,1.0,0.0,9.0,4.0,15.0,2.0,5.0,0.0,0.0,13.0,3.0,6.0,0.0,1.0,2.0,2.0,6.0,8.0,7.0,0.0,2.0,1.0,2.0,3.0,5.0,9.0,0.0,H
Everton,West Ham,M Clattenburg,16396.0,2.0,2.0,1.0,8.0,4.0,11.0,0.0,1.0,2.0,2.0,10.0,11.0,8.0,0.0,3.0,2.0,0.0,9.0,4.0,6.0,0.0,2.0,2.0,1.0,11.0,8.0,9.0,0.0,H
Leicester,Sunderland,R Madley,16396.0,0.0,1.0,4.0,2.0,8.0,7.0,0.0,1.0,3.0,1.0,10.0,9.0,7.0,0.0,2.0,1.0,2.0,7.0,13.0,13.0,0.0,1.0,2.0,2.0,5.0,12.0,11.0,0.0,D
Man City,Swansea,N Swarbrick,16396.0,3.0,1.0,1.0,10.0,5.0,8.0,0.0,3.0,1.0,1.0,9.0,4.0,10.0,1.0,2.0,2.0,1.0,7.0,5.0,10.0,1.0,1.0,2.0,2.0,5.0,7.0,12.0,2.0,H
Newcastle,QPR,C Foy,16396.0,4.0,1.0,0.0,8.0,3.0,11.0,0.0,2.0,2.0,1.0,7.0,7.0,10.0,0.0,1.0,1.0,3.0,7.0,9.0,8.0,0.0,0.0,0.0,5.0,2.0,14.0,4.0,0.0,H
Stoke,Burnley,M Atkinson,16396.0,2.0,1.0,2.0,7.0,8.0,13.0,0.0,2.0,1.0,2.0,5.0,5.0,9.0,0.0,1.0,1.0,3.0,5.0,11.0,13.0,0.0,0.0,2.0,3.0,2.0,10.0,9.0,0.0,A
Hull,Tottenham,C Pawson,16397.0,1.0,2.0,2.0,4.0,4.0,10.0,0.0,1.0,2.0,2.0,7.0,8.0,6.0,1.0,2.0,0.0,3.0,6.0,9.0,12.0,2.0,2.0,2.0,1.0,7.0,8.0,12.0,2.0,A
Crystal Palace,Liverpool,J Moss,16397.0,0.0,1.0,4.0,4.0,10.0,7.0,2.0,1.0,1.0,3.0,5.0,8.0,4.0,2.0,2.0,1.0,2.0,6.0,6.0,13.0,0.0,2.0,0.0,3.0,8.0,9.0,12.0,0.0,H
Aston Villa,Southampton,P Dowd,16398.0,0.0,1.0,4.0,1.0,9.0,10.0,1.0,1.0,1.0,3.0,3.0,8.0,9.0,1.0,4.0,0.0,1.0,12.0,1.0,4.0,0.0,3.0,0.0,2.0,6.0,4.0,8.0,0.0,D
Burnley,Aston Villa,G Scott,16403.0,2.0,0.0,3.0,5.0,10.0,13.0,0.0,1.0,2.0,2.0,3.0,6.0,13.0,0.0,0.0,2.0,3.0,2.0,8.0,11.0,1.0,1.0,1.0,3.0,1.0,8.0,10.0,0.0,D
Liverpool,Stoke,C Pawson,16403.0,1.0,1.0,3.0,5.0,8.0,13.0,0.0,1.0,2.0,2.0,4.0,5.0,11.0,0.0,2.0,1.0,2.0,7.0,7.0,11.0,0.0,2.0,1.0,2.0,6.0,7.0,13.0,0.0,H
Man United,Hull,A Taylor,16403.0,2.0,2.0,1.0,6.0,5.0,8.0,1.0,4.0,1.0,0.0,10.0,3.0,10.0,1.0,0.0,2.0,3.0,3.0,6.0,12.0,1.0,0.0,3.0,2.0,5.0,7.0,14.0,0.0,H
QPR,Leicester,R East,16403.0,1.0,1.0,3.0,7.0,8.0,9.0,0.0,2.0,2.0,1.0,9.0,7.0,9.0,0.0,0.0,1.0,4.0,0.0,6.0,7.0,0.0,1.0,0.0,4.0,1.0,7.0,7.0,0.0,H
Sunderland,Chelsea,K Friend,16403.0,1.0,2.0,2.0,4.0,12.0,13.0,0.0,1.0,3.0,1.0,6.0,6.0,14.0,0.0,4.0,1.0,0.0,9.0,4.0,12.0,2.0,3.0,2.0,0.0,12.0,7.0,18.0,2.0,D
Swansea,Crystal Palace,M Atkinson,16403.0,2.0,1.0,2.0,6.0,5.0,10.0,1.0,3.0,1.0,1.0,9.0,4.0,7.0,1.0,1.0,1.0,3.0,7.0,9.0,6.0,2.0,1.0,2.0,2.0,8.0,10.0,11.0,0.0,D
West Brom,Arsenal,C Foy,16403.0,1.0,2.0,2.0,5.0,8.0,5.0,1.0,1.0,2.0,2.0,8.0,8.0,7.0,0.0,2.0,1.0,2.0,9.0,6.0,12.0,0.0,2.0,1.0,2.0,7.0,5.0,15.0,0.0,A
West Ham,Newcastle,M Dean,16403.0,2.0,2.0,1.0,8.0,6.0,7.0,0.0,3.0,1.0,1.0,8.0,5.0,10.0,0.0,5.0,0.0,0.0,7.0,1.0,10.0,0.0,2.0,1.0,2.0,6.0,8.0,11.0,0.0,H
Southampton,Man City,M Jones,16404.0,4.0,1.0,0.0,13.0,1.0,5.0,0.0,5.0,0.0,0.0,17.0,1.0,5.0,0.0,3.0,1.0,1.0,10.0,6.0,9.0,0.0,2.0,2.0,1.0,11.0,8.0,10.0,0.0,A
Tottenham,Everton,M Oliver,16404.0,2.0,0.0,3.0,7.0,10.0,11.0,2.0,1.0,0.0,4.0,3.0,8.0,9.0,1.0,3.0,2.0,0.0,9.0,3.0,10.0,0.0,2.0,2.0,1.0,8.0,5.0,11.0,0.0,H
