home,away,Referee,time,H_Enemy_Acc,A_Enemy_Acc,HAccP - AAccP,H/A,HWin,HDraw,HLose,H goal Diff,AWin,ADraw,ALose,A goal diff,moraldiff + h-a,H_atkPass_ratio,A_atkPass_ratio,HS_Acc,AS_Acc,HST_Acc,AST_Acc,H_poss_Acc,A_poss_Acc,H_atk_3rd_Acc,A_atk_3rd_Acc,H_atk_3rd_tot_Acc,A_atk_3rd_tot_Acc,H_red_goal_Acc,A_red_goal_Acc,H_red_on_Acc,A_red_on_Acc,H_red_tot_Acc,A_red_tot_Acc,H_chance_goal_Acc,A_chance_goal_Acc,H_chance_tot_Acc,A_chance_tot_Acc,H_successful_tackle_Acc,A_successful_tackle_Acc,H_tackle_tot_Acc,A_tackle_tot_Acc,H_successful_clearance_Acc,A_successful_clearance_Acc,H_clearance_tot_Acc,A_clearance_tot_Acc,H_interceptions_Acc,A_interceptions_Acc,H_blocks_Acc,A_blocks_Acc,HS_Acc/AS_Acc,HST_Acc/AST_Acc,H_poss_Acc/A_poss_Acc,H_atk_3rd_Acc/A_atk_3rd_Acc,H_atk_3rd_tot_Acc/A_atk_3rd_tot_Acc,H_red_goal_Acc/A_red_goal_Acc,H_red_on_Acc/A_red_on_Acc,H_red_tot_Acc/A_red_tot_Acc,H_chance_goal_Acc/A_chance_goal_Acc,H_chance_tot_Acc/A_chance_tot_Acc,H_successful_tackle_Acc/A_successful_tackle_Acc,H_tackle_tot_Acc/A_tackle_tot_Acc,H_successful_clearance_Acc/A_successful_clearance_Acc,H_clearance_tot_Acc/A_clearance_tot_Acc,H_interceptions_Acc/A_interceptions_Acc,H_blocks_Acc/A_blocks_Acc,y
West Brom,Man City,M Clattenburg,15633.0,-1.0,0.9655172413793104,3.0,1.0,1.0,1.0,3.0,2.0,0.0,6.0,-6.209040983171423,0.6290322580645161,0.7669172932330827,14.0,14.0,60.0,95.0,35.0,61.0,221.69999999999993,298.9000000000001,351.0,714.0,558.0,931.0,7.0,8.0,5.0,18.0,31.0,60.0,5.0,4.0,47.0,68.0,87.0,105.0,117.0,131.0,67.0,67.0,170.0,135.0,36.0,53.0,25.0,9.0,0.631578947368421,0.5737704918032787,0.7417196386751417,0.49159663865546216,0.5993555316863588,0.875,0.2777777777777778,0.5166666666666667,1.25,0.6911764705882353,0.8285714285714286,0.8931297709923665,1.0,1.2592592592592593,0.6792452830188679,2.7777777777777777,A
Swansea,Wigan,M Jones,15633.0,3.0,1.1578947368421053,0.0,2.0,3.0,-7.0,0.0,2.0,3.0,-6.0,0.17885702398287862,0.735632183908046,0.6743801652892562,14.0,14.0,75.0,53.0,42.0,27.0,302.7000000000002,276.4000000000001,512.0,408.0,696.0,605.0,4.0,5.0,15.0,8.0,49.0,41.0,3.0,3.0,61.0,43.0,92.0,85.0,114.0,112.0,93.0,77.0,224.0,146.0,57.0,56.0,21.0,17.0,1.4150943396226414,1.5555555555555556,1.0951519536903043,1.2549019607843137,1.1504132231404958,0.8,1.875,1.1951219512195121,1.0,1.4186046511627908,1.0823529411764705,1.0178571428571428,1.2077922077922079,1.5342465753424657,1.0178571428571428,1.2352941176470589,H
Man United,Stoke,A Taylor,15633.0,7.0,1.3181818181818181,4.0,0.0,1.0,8.0,1.0,3.0,1.0,1.0,9.43603063603063,0.7452574525745257,0.5606936416184971,13.0,13.0,70.0,48.0,40.0,25.0,283.7000000000001,181.50000000000009,550.0,291.0,738.0,519.0,12.0,5.0,9.0,9.0,46.0,32.0,9.0,2.0,55.0,41.0,121.0,111.0,162.0,154.0,94.0,103.0,188.0,175.0,59.0,80.0,14.0,22.0,1.4583333333333333,1.6,1.5630853994490357,1.8900343642611683,1.4219653179190752,2.4,1.0,1.4375,4.5,1.3414634146341464,1.09009009009009,1.051948051948052,0.912621359223301,1.0742857142857143,0.7375,0.6363636363636364,H
Fulham,Aston Villa,C Foy,15633.0,5.0,1.263157894736842,2.0,1.0,2.0,0.0,1.0,2.0,2.0,-3.0,5.668870508949933,0.715702479338843,0.5737179487179487,13.0,13.0,70.0,65.0,44.0,37.0,241.29999999999993,231.50000000000026,433.0,358.0,605.0,624.0,7.0,4.0,14.0,11.0,43.0,46.0,4.0,1.0,47.0,54.0,71.0,103.0,94.0,138.0,70.0,71.0,149.0,147.0,105.0,79.0,25.0,16.0,1.0769230769230769,1.1891891891891893,1.0423326133909272,1.2094972067039107,0.969551282051282,1.75,1.2727272727272727,0.9347826086956522,4.0,0.8703703703703703,0.6893203883495146,0.6811594202898551,0.9859154929577465,1.0136054421768708,1.3291139240506329,1.5625,H
Liverpool,Reading,R East,15633.0,2.0,1.1111111111111112,1.0,2.0,2.0,0.0,0.0,2.0,3.0,-5.0,7.88105415433791,0.7370892018779343,0.5548172757475083,13.0,14.0,76.0,41.0,36.0,21.0,300.9000000000002,193.70000000000005,628.0,334.0,852.0,602.0,3.0,6.0,9.0,6.0,55.0,30.0,2.0,5.0,65.0,28.0,99.0,82.0,128.0,123.0,64.0,90.0,127.0,177.0,66.0,82.0,11.0,20.0,1.853658536585366,1.7142857142857142,1.5534331440371716,1.8802395209580838,1.415282392026578,0.5,1.5,1.8333333333333333,0.4,2.3214285714285716,1.2073170731707317,1.0406504065040652,0.7111111111111111,0.7175141242937854,0.8048780487804879,0.55,H
Tottenham,Chelsea,M Dean,15633.0,-5.0,0.8484848484848485,4.0,1.0,0.0,6.0,4.0,1.0,0.0,7.0,-2.726578018858337,0.7707231040564374,0.7558011049723757,13.0,14.0,88.0,71.0,50.0,42.0,244.39999999999992,277.0,437.0,684.0,567.0,905.0,9.0,8.0,11.0,8.0,43.0,36.0,6.0,6.0,71.0,57.0,106.0,94.0,120.0,133.0,146.0,68.0,281.0,112.0,80.0,52.0,10.0,13.0,1.2394366197183098,1.1904761904761905,0.8823104693140791,0.6388888888888888,0.6265193370165746,1.125,1.375,1.1944444444444444,1.0,1.2456140350877194,1.127659574468085,0.9022556390977443,2.1470588235294117,2.5089285714285716,1.5384615384615385,0.7692307692307693,A
QPR,Everton,J Moss,15634.0,-12.0,0.5714285714285714,0.0,1.0,4.0,-5.0,2.0,2.0,1.0,3.0,-23.516766795370913,0.6341463414634146,0.7396937573616019,15.0,15.0,54.0,92.0,32.0,54.0,255.10000000000028,271.7999999999999,390.0,628.0,615.0,849.0,3.0,10.0,10.0,17.0,34.0,71.0,4.0,7.0,40.0,75.0,109.0,73.0,141.0,95.0,105.0,83.0,212.0,166.0,69.0,70.0,29.0,14.0,0.5869565217391305,0.5925925925925926,0.9385577630610757,0.6210191082802548,0.7243816254416962,0.3,0.5882352941176471,0.4788732394366197,0.5714285714285714,0.5333333333333333,1.4931506849315068,1.4842105263157894,1.2650602409638554,1.2771084337349397,0.9857142857142858,2.0714285714285716,D
Sunderland,Newcastle,M Atkinson,15634.0,-1.0,0.9565217391304348,1.0,3.0,1.0,-2.0,1.0,3.0,1.0,-2.0,-0.22546897546898848,0.6497695852534562,0.5935251798561151,15.0,14.0,33.0,64.0,21.0,27.0,198.29999999999993,244.3,282.0,330.0,434.0,556.0,5.0,4.0,2.0,8.0,15.0,41.0,3.0,5.0,25.0,53.0,117.0,83.0,160.0,110.0,70.0,119.0,163.0,251.0,74.0,49.0,28.0,17.0,0.515625,0.7777777777777778,0.8117069177241094,0.8545454545454545,0.7805755395683454,1.25,0.25,0.36585365853658536,0.6,0.4716981132075472,1.4096385542168675,1.4545454545454546,0.5882352941176471,0.649402390438247,1.510204081632653,1.6470588235294117,D
Man City,Swansea,M Atkinson,15640.0,7.0,1.2916666666666667,3.0,2.0,0.0,5.0,1.0,1.0,3.0,-6.0,24.280384791655216,0.759478672985782,0.7019089574155654,2.0,7.0,97.0,79.0,62.0,43.0,295.10000000000014,286.50000000000017,641.0,478.0,844.0,681.0,6.0,4.0,18.0,16.0,57.0,47.0,5.0,3.0,73.0,65.0,96.0,85.0,124.0,107.0,65.0,89.0,133.0,209.0,55.0,70.0,10.0,21.0,1.2278481012658229,1.441860465116279,1.0300174520069807,1.3410041841004183,1.2393538913362703,1.5,1.125,1.2127659574468086,1.6666666666666667,1.123076923076923,1.1294117647058823,1.158878504672897,0.7303370786516854,0.6363636363636364,0.7857142857142857,0.47619047619047616,H
Arsenal,QPR,A Taylor,15640.0,9.0,1.5625,2.0,1.0,2.0,5.0,0.0,2.0,3.0,-3.0,12.05477881715576,0.8006681514476615,0.6584234930448223,2.0,6.0,77.0,59.0,42.0,33.0,300.9000000000001,272.00000000000017,719.0,426.0,898.0,647.0,7.0,2.0,12.0,12.0,47.0,37.0,5.0,4.0,72.0,46.0,109.0,102.0,146.0,130.0,62.0,105.0,126.0,211.0,85.0,76.0,9.0,28.0,1.305084745762712,1.2727272727272727,1.1062499999999997,1.687793427230047,1.3879443585780527,3.5,1.0,1.2702702702702702,1.25,1.565217391304348,1.0686274509803921,1.123076923076923,0.5904761904761905,0.5971563981042654,1.118421052631579,0.32142857142857145,H
Stoke,Sunderland,M Halsey,15640.0,-1.0,0.9545454545454546,1.0,2.0,2.0,-1.0,1.0,3.0,1.0,-2.0,-3.4542891973926366,0.541015625,0.6694736842105263,7.0,6.0,40.0,45.0,23.0,24.0,186.20000000000005,227.59999999999994,277.0,318.0,512.0,475.0,4.0,3.0,8.0,2.0,25.0,20.0,1.0,3.0,36.0,37.0,108.0,112.0,148.0,151.0,97.0,68.0,173.0,164.0,74.0,76.0,19.0,29.0,0.8888888888888888,0.9583333333333334,0.8181019332161692,0.8710691823899371,1.0778947368421052,1.3333333333333333,4.0,1.25,0.3333333333333333,0.972972972972973,0.9642857142857143,0.9801324503311258,1.4264705882352942,1.0548780487804879,0.9736842105263158,0.6551724137931034,D
