home,away,Referee,time,HRestTime,ARestTime,HS_Acc,AS_Acc,HST_Acc,AST_Acc,H_Poss_Acc,A_Poss_Acc,H_atkPass_tot_Acc,A_atkPass_tot_Acc,H_atkPass_Ok_Acc,A_atkPass_OK_Acc,H_ins_Acc,A_ins_Acc,HAccP - AAccP,H/A,HWin,HDraw,HLose,H goal Diff,AWin,ADraw,ALose,A goal diff,moraldiff + h-a,y
Everton,Sunderland,L Mason,15654.0,7.0,7.0,86.0,52.0,47.0,22.0,264.5999999999999,258.2,817.0,570.0,577.0,378.0,87.0,71.0,7.0,1.3333333333333333,1.0,4.0,0.0,2.0,1.0,2.0,2.0,-3.0,13.521672771672769,H
Arsenal,Fulham,P Dowd,15654.0,3.0,7.0,75.0,62.0,40.0,29.0,310.9000000000001,244.49999999999991,879.0,596.0,695.0,412.0,71.0,97.0,0.0,1.0,2.0,0.0,3.0,0.0,1.0,3.0,1.0,0.0,-6.3147568759840595,D
Reading,Norwich,C Foy,15654.0,6.0,7.0,63.0,50.0,35.0,28.0,197.1,194.1000000000002,635.0,625.0,343.0,385.0,89.0,56.0,-4.0,0.8095238095238095,0.0,4.0,1.0,-1.0,2.0,1.0,2.0,-4.0,-5.675470776878949,D
Chelsea,Liverpool,H Webb,15655.0,3.0,2.0,66.0,81.0,43.0,41.0,271.8,295.9000000000002,782.0,844.0,586.0,604.0,53.0,75.0,12.0,1.5454545454545454,3.0,1.0,1.0,5.0,2.0,3.0,0.0,4.0,6.787213164161404,D
Man City,Tottenham,M Oliver,15655.0,4.0,2.0,96.0,80.0,54.0,46.0,306.4000000000001,222.7999999999999,941.0,480.0,739.0,353.0,56.0,109.0,5.0,1.1785714285714286,4.0,1.0,0.0,6.0,3.0,0.0,2.0,1.0,15.761440061606919,H
Newcastle,West Ham,M Dean,15655.0,2.0,7.0,51.0,54.0,22.0,33.0,217.7,200.1000000000001,468.0,648.0,273.0,397.0,60.0,56.0,-1.0,0.9615384615384616,1.0,3.0,1.0,-2.0,2.0,1.0,2.0,1.0,4.512363433667787,A
Norwich,Man United,A Taylor,15661.0,7.0,6.0,50.0,67.0,24.0,38.0,211.9000000000002,287.00000000000017,621.0,723.0,376.0,543.0,58.0,53.0,-16.0,0.5675675675675675,2.0,2.0,1.0,-1.0,5.0,0.0,0.0,8.0,-20.579475164149564,H
West Brom,Chelsea,M Oliver,15661.0,7.0,5.0,60.0,68.0,30.0,41.0,215.99999999999991,266.3,558.0,791.0,360.0,585.0,56.0,51.0,-4.0,0.8823529411764706,3.0,0.0,2.0,2.0,2.0,2.0,1.0,4.0,-6.477278356634219,H
Reading,Everton,M Atkinson,15661.0,7.0,7.0,56.0,85.0,31.0,48.0,199.00000000000003,274.79999999999995,596.0,864.0,319.0,603.0,90.0,73.0,-13.0,0.5666666666666667,0.0,4.0,1.0,-1.0,1.0,4.0,0.0,1.0,-16.045004668534073,H
Newcastle,Swansea,P Dowd,15661.0,6.0,7.0,57.0,66.0,28.0,42.0,214.9,269.2000000000002,467.0,677.0,273.0,488.0,65.0,86.0,1.0,1.0434782608695652,1.0,2.0,2.0,-3.0,1.0,3.0,1.0,0.0,-2.40996622825514,A
