home,away,Referee,time,HAccP - AAccP,H/A,HWin,HDraw,HLose,H goal Diff,AWin,ADraw,ALose,A goal diff,moraldiff + h-a,H_Enemy_Acc,A_Enemy_Acc,HRestDay,ARestDay,HS_Acc,AS_Acc,HST_Acc,AST_Acc,H_poss_Acc,A_poss_Acc,H_atk_3rd_Acc,A_atk_3rd_Acc,H_atk_3rd_tot_Acc,A_atk_3rd_tot_Acc,H_red_goal_Acc,A_red_goal_Acc,H_red_on_Acc,A_red_on_Acc,H_red_tot_Acc,A_red_tot_Acc,H_chance_goal_Acc,A_chance_goal_Acc,H_chance_tot_Acc,A_chance_tot_Acc,H_successful_tackle_Acc,A_successful_tackle_Acc,H_tackle_tot_Acc,A_tackle_tot_Acc,H_successful_clearance_Acc,A_successful_clearance_Acc,H_clearance_tot_Acc,A_clearance_tot_Acc,H_interceptions_Acc,A_interceptions_Acc,H_blocks_Acc,A_blocks_Acc,H_atk_3rd_Acc/H_atk_3rd_tot_Acc,H_red_goal_Acc/H_red_tot_Acc,H_red_on_Acc/H_red_tot_Acc,H_chance_goal_Acc/H_chance_tot_Acc,H_successful_tackle_Acc/H_tackle_tot_Acc,H_successful_clearance_Acc/H_clearance_tot_Acc,A_atk_3rd_Acc/A_atk_3rd_tot_Acc,A_red_goal_Acc/A_red_tot_Acc,A_red_on_Acc/A_red_tot_Acc,A_chance_goal_Acc/A_chance_tot_Acc,A_successful_tackle_Acc/A_tackle_tot_Acc,A_successful_clearance_Acc/A_clearance_tot_Acc,y
West Brom,Man City,M Clattenburg,15633.0,-1.0,0.9655172413793104,3.0,1.0,1.0,1.0,3.0,2.0,0.0,6.0,-6.209040983171423,97.0,109.0,14.0,14.0,60.0,95.0,35.0,61.0,221.69999999999993,298.9000000000001,351.0,714.0,558.0,931.0,7.0,8.0,5.0,18.0,31.0,60.0,5.0,4.0,47.0,68.0,87.0,105.0,117.0,131.0,67.0,67.0,170.0,135.0,36.0,53.0,25.0,9.0,0.6290322580645161,0.22580645161290322,0.16129032258064516,0.10638297872340426,0.7435897435897436,0.3941176470588235,0.7669172932330827,0.13333333333333333,0.3,0.058823529411764705,0.8015267175572519,0.4962962962962963,A
Swansea,Wigan,M Jones,15633.0,3.0,1.1578947368421053,0.0,2.0,3.0,-7.0,0.0,2.0,3.0,-6.0,0.17885702398287862,97.0,112.0,14.0,14.0,75.0,53.0,42.0,27.0,302.7000000000002,276.4000000000001,512.0,408.0,696.0,605.0,4.0,5.0,15.0,8.0,49.0,41.0,3.0,3.0,61.0,43.0,92.0,85.0,114.0,112.0,93.0,77.0,224.0,146.0,57.0,56.0,21.0,17.0,0.735632183908046,0.08163265306122448,0.30612244897959184,0.04918032786885246,0.8070175438596491,0.41517857142857145,0.6743801652892562,0.12195121951219512,0.1951219512195122,0.06976744186046512,0.7589285714285714,0.5273972602739726,H
Man United,Stoke,A Taylor,15633.0,7.0,1.3181818181818181,4.0,0.0,1.0,8.0,1.0,3.0,1.0,1.0,9.43603063603063,103.0,112.0,13.0,13.0,70.0,48.0,40.0,25.0,283.7000000000001,181.50000000000009,550.0,291.0,738.0,519.0,12.0,5.0,9.0,9.0,46.0,32.0,9.0,2.0,55.0,41.0,121.0,111.0,162.0,154.0,94.0,103.0,188.0,175.0,59.0,80.0,14.0,22.0,0.7452574525745257,0.2608695652173913,0.1956521739130435,0.16363636363636364,0.7469135802469136,0.5,0.5606936416184971,0.15625,0.28125,0.04878048780487805,0.7207792207792207,0.5885714285714285,H
Fulham,Aston Villa,C Foy,15633.0,5.0,1.263157894736842,2.0,1.0,2.0,0.0,1.0,2.0,2.0,-3.0,5.668870508949933,106.0,111.0,13.0,13.0,70.0,65.0,44.0,37.0,241.29999999999993,231.50000000000026,433.0,358.0,605.0,624.0,7.0,4.0,14.0,11.0,43.0,46.0,4.0,1.0,47.0,54.0,71.0,103.0,94.0,138.0,70.0,71.0,149.0,147.0,105.0,79.0,25.0,16.0,0.715702479338843,0.16279069767441862,0.32558139534883723,0.0851063829787234,0.7553191489361702,0.4697986577181208,0.5737179487179487,0.08695652173913043,0.2391304347826087,0.018518518518518517,0.7463768115942029,0.48299319727891155,H
Liverpool,Reading,R East,15633.0,2.0,1.1111111111111112,1.0,2.0,2.0,0.0,0.0,2.0,3.0,-5.0,7.88105415433791,104.0,108.0,13.0,14.0,76.0,41.0,36.0,21.0,300.9000000000002,193.70000000000005,628.0,334.0,852.0,602.0,3.0,6.0,9.0,6.0,55.0,30.0,2.0,5.0,65.0,28.0,99.0,82.0,128.0,123.0,64.0,90.0,127.0,177.0,66.0,82.0,11.0,20.0,0.7370892018779343,0.05454545454545454,0.16363636363636364,0.03076923076923077,0.7734375,0.5039370078740157,0.5548172757475083,0.2,0.2,0.17857142857142858,0.6666666666666666,0.5084745762711864,H
Tottenham,Chelsea,M Dean,15633.0,-5.0,0.8484848484848485,4.0,1.0,0.0,6.0,4.0,1.0,0.0,7.0,-2.726578018858337,102.0,101.0,13.0,14.0,88.0,71.0,50.0,42.0,244.39999999999992,277.0,437.0,684.0,567.0,905.0,9.0,8.0,11.0,8.0,43.0,36.0,6.0,6.0,71.0,57.0,106.0,94.0,120.0,133.0,146.0,68.0,281.0,112.0,80.0,52.0,10.0,13.0,0.7707231040564374,0.20930232558139536,0.2558139534883721,0.08450704225352113,0.8833333333333333,0.5195729537366548,0.7558011049723757,0.2222222222222222,0.2222222222222222,0.10526315789473684,0.706766917293233,0.6071428571428571,A
QPR,Everton,J Moss,15634.0,-12.0,0.5714285714285714,0.0,1.0,4.0,-5.0,2.0,2.0,1.0,3.0,-23.516766795370913,117.0,102.0,15.0,15.0,54.0,92.0,32.0,54.0,255.10000000000028,271.7999999999999,390.0,628.0,615.0,849.0,3.0,10.0,10.0,17.0,34.0,71.0,4.0,7.0,40.0,75.0,109.0,73.0,141.0,95.0,105.0,83.0,212.0,166.0,69.0,70.0,29.0,14.0,0.6341463414634146,0.08823529411764706,0.29411764705882354,0.1,0.7730496453900709,0.49528301886792453,0.7396937573616019,0.14084507042253522,0.23943661971830985,0.09333333333333334,0.7684210526315789,0.5,D
Sunderland,Newcastle,M Atkinson,15634.0,-1.0,0.9565217391304348,1.0,3.0,1.0,-2.0,1.0,3.0,1.0,-2.0,-0.22546897546898848,110.0,103.0,15.0,14.0,33.0,64.0,21.0,27.0,198.29999999999993,244.3,282.0,330.0,434.0,556.0,5.0,4.0,2.0,8.0,15.0,41.0,3.0,5.0,25.0,53.0,117.0,83.0,160.0,110.0,70.0,119.0,163.0,251.0,74.0,49.0,28.0,17.0,0.6497695852534562,0.3333333333333333,0.13333333333333333,0.12,0.73125,0.4294478527607362,0.5935251798561151,0.0975609756097561,0.1951219512195122,0.09433962264150944,0.7545454545454545,0.47410358565737054,D
Man City,Swansea,M Atkinson,15640.0,7.0,1.2916666666666667,3.0,2.0,0.0,5.0,1.0,1.0,3.0,-6.0,24.280384791655216,117.0,95.0,2.0,7.0,97.0,79.0,62.0,43.0,295.10000000000014,286.50000000000017,641.0,478.0,844.0,681.0,6.0,4.0,18.0,16.0,57.0,47.0,5.0,3.0,73.0,65.0,96.0,85.0,124.0,107.0,65.0,89.0,133.0,209.0,55.0,70.0,10.0,21.0,0.759478672985782,0.10526315789473684,0.3157894736842105,0.0684931506849315,0.7741935483870968,0.48872180451127817,0.7019089574155654,0.0851063829787234,0.3404255319148936,0.046153846153846156,0.794392523364486,0.4258373205741627,H
Arsenal,QPR,A Taylor,15640.0,9.0,1.5625,2.0,1.0,2.0,5.0,0.0,2.0,3.0,-3.0,12.05477881715576,110.0,122.0,2.0,6.0,77.0,59.0,42.0,33.0,300.9000000000001,272.00000000000017,719.0,426.0,898.0,647.0,7.0,2.0,12.0,12.0,47.0,37.0,5.0,4.0,72.0,46.0,109.0,102.0,146.0,130.0,62.0,105.0,126.0,211.0,85.0,76.0,9.0,28.0,0.8006681514476615,0.14893617021276595,0.2553191489361702,0.06944444444444445,0.7465753424657534,0.49206349206349204,0.6584234930448223,0.05405405405405406,0.32432432432432434,0.08695652173913043,0.7846153846153846,0.4976303317535545,H
Stoke,Sunderland,M Halsey,15640.0,-1.0,0.9545454545454546,1.0,2.0,2.0,-1.0,1.0,3.0,1.0,-2.0,-3.4542891973926366,119.0,108.0,7.0,6.0,40.0,45.0,23.0,24.0,186.20000000000005,227.59999999999994,277.0,318.0,512.0,475.0,4.0,3.0,8.0,2.0,25.0,20.0,1.0,3.0,36.0,37.0,108.0,112.0,148.0,151.0,97.0,68.0,173.0,164.0,74.0,76.0,19.0,29.0,0.541015625,0.16,0.32,0.027777777777777776,0.7297297297297297,0.5606936416184971,0.6694736842105263,0.15,0.1,0.08108108108108109,0.7417218543046358,0.4146341463414634,D
Reading,Fulham,M Jones,15640.0,-9.0,0.6538461538461539,0.0,2.0,3.0,-4.0,3.0,1.0,1.0,4.0,-20.955003450655624,105.0,103.0,7.0,7.0,42.0,73.0,21.0,39.0,208.50000000000003,237.09999999999988,353.0,445.0,647.0,629.0,5.0,8.0,6.0,13.0,30.0,51.0,4.0,5.0,31.0,49.0,94.0,58.0,134.0,83.0,83.0,85.0,159.0,165.0,83.0,104.0,22.0,23.0,0.5455950540958269,0.16666666666666666,0.2,0.12903225806451613,0.7014925373134329,0.5220125786163522,0.7074721780604134,0.1568627450980392,0.2549019607843137,0.10204081632653061,0.6987951807228916,0.5151515151515151,D
Wigan,West Ham,J Moss,15640.0,-9.0,0.6666666666666666,0.0,1.0,4.0,-7.0,2.0,2.0,1.0,2.0,-21.331831505641574,113.0,96.0,7.0,7.0,54.0,62.0,29.0,36.0,260.1000000000001,231.90000000000015,383.0,380.0,572.0,657.0,4.0,7.0,11.0,6.0,39.0,52.0,2.0,5.0,42.0,56.0,86.0,99.0,116.0,123.0,77.0,121.0,152.0,223.0,62.0,54.0,16.0,19.0,0.6695804195804196,0.10256410256410256,0.28205128205128205,0.047619047619047616,0.7413793103448276,0.506578947368421,0.578386605783866,0.1346153846153846,0.11538461538461539,0.08928571428571429,0.8048780487804879,0.5426008968609866,H
Aston Villa,Norwich,P Dowd,15640.0,-1.0,0.9473684210526315,1.0,1.0,3.0,-4.0,1.0,1.0,3.0,-6.0,-2.2935666558881476,113.0,116.0,7.0,6.0,61.0,52.0,32.0,31.0,232.50000000000026,188.1000000000002,360.0,347.0,649.0,597.0,3.0,4.0,9.0,12.0,43.0,39.0,0.0,2.0,55.0,46.0,92.0,94.0,126.0,145.0,77.0,75.0,168.0,161.0,81.0,48.0,17.0,27.0,0.5546995377503852,0.06976744186046512,0.20930232558139536,0.0,0.7301587301587301,0.4583333333333333,0.5812395309882747,0.10256410256410256,0.3076923076923077,0.043478260869565216,0.6482758620689655,0.4658385093167702,D
Newcastle,West Brom,C Foy,15641.0,-4.0,0.8518518518518519,1.0,3.0,1.0,-2.0,2.0,1.0,2.0,-2.0,0.2202479554428649,106.0,101.0,2.0,8.0,58.0,62.0,28.0,35.0,227.1,221.29999999999995,286.0,369.0,513.0,563.0,5.0,6.0,8.0,7.0,39.0,31.0,5.0,3.0,45.0,49.0,96.0,94.0,124.0,133.0,141.0,77.0,282.0,172.0,54.0,35.0,23.0,27.0,0.557504873294347,0.1282051282051282,0.20512820512820512,0.1111111111111111,0.7741935483870968,0.5,0.655417406749556,0.1935483870967742,0.22580645161290322,0.061224489795918366,0.706766917293233,0.4476744186046512,H
