home,away,Referee,time,HAccP - AAccP,H/A,HWin,HDraw,HLose,H goal Diff,AWin,ADraw,ALose,A goal diff,moraldiff + h-a,H_Enemy_Acc,A_Enemy_Acc,HRestDay,ARestDay,HS_Acc,AS_Acc,HST_Acc,AST_Acc,H_poss_Acc,A_poss_Acc,H_atk_3rd_Acc,A_atk_3rd_Acc,H_atk_3rd_tot_Acc,A_atk_3rd_tot_Acc,H_red_goal_Acc,A_red_goal_Acc,H_red_on_Acc,A_red_on_Acc,H_red_tot_Acc,A_red_tot_Acc,H_chance_goal_Acc,A_chance_goal_Acc,H_chance_tot_Acc,A_chance_tot_Acc,H_successful_tackle_Acc,A_successful_tackle_Acc,H_tackle_tot_Acc,A_tackle_tot_Acc,H_successful_clearance_Acc,A_successful_clearance_Acc,H_clearance_tot_Acc,A_clearance_tot_Acc,H_interceptions_Acc,A_interceptions_Acc,H_blocks_Acc,A_blocks_Acc,H_atk_3rd_Acc/H_atk_3rd_tot_Acc,H_red_goal_Acc/H_red_tot_Acc,H_red_on_Acc/H_red_tot_Acc,H_chance_goal_Acc/H_chance_tot_Acc,H_successful_tackle_Acc/H_tackle_tot_Acc,H_successful_clearance_Acc/H_clearance_tot_Acc,A_atk_3rd_Acc/A_atk_3rd_tot_Acc,A_red_goal_Acc/A_red_tot_Acc,A_red_on_Acc/A_red_tot_Acc,A_chance_goal_Acc/A_chance_tot_Acc,A_successful_tackle_Acc/A_tackle_tot_Acc,A_successful_clearance_Acc/A_clearance_tot_Acc,y
Newcastle,Chelsea,M Atkinson,16410.0,-26.0,0.48,3.0,1.0,1.0,3.0,4.0,1.0,0.0,7.0,-23.811605844928167,121.0,134.0,3.0,2.0,54.0,90.0,17.0,35.0,241.29999999999993,287.1,376.0,859.0,590.0,1060.0,5.0,9.0,8.0,14.0,31.0,48.0,4.0,7.0,36.0,74.0,104.0,100.0,129.0,156.0,154.0,112.0,170.0,126.0,85.0,46.0,13.0,15.0,0.6372881355932203,0.16129032258064516,0.25806451612903225,0.1111111111111111,0.8062015503875969,0.9058823529411765,0.810377358490566,0.1875,0.2916666666666667,0.0945945945945946,0.6410256410256411,0.8888888888888888,H
Liverpool,Sunderland,N Swarbrick,16410.0,6.0,1.2142857142857142,2.0,0.0,3.0,-1.0,1.0,3.0,1.0,-1.0,-8.612717012077624,138.0,170.0,3.0,2.0,57.0,48.0,14.0,20.0,288.0000000000001,216.00000000000003,407.0,302.0,644.0,468.0,5.0,3.0,4.0,8.0,29.0,25.0,3.0,3.0,34.0,32.0,105.0,114.0,146.0,175.0,191.0,111.0,209.0,128.0,62.0,79.0,32.0,20.0,0.6319875776397516,0.1724137931034483,0.13793103448275862,0.08823529411764706,0.7191780821917808,0.9138755980861244,0.6452991452991453,0.12,0.32,0.09375,0.6514285714285715,0.8671875,D
Hull,West Brom,M Oliver,16410.0,-1.0,0.9444444444444444,0.0,1.0,4.0,-6.0,1.0,0.0,4.0,-5.0,-1.301935141731775,141.0,145.0,2.0,3.0,42.0,55.0,7.0,12.0,191.79999999999993,234.4,298.0,364.0,477.0,619.0,1.0,1.0,4.0,4.0,29.0,26.0,1.0,1.0,32.0,40.0,95.0,90.0,137.0,141.0,189.0,158.0,205.0,174.0,82.0,74.0,26.0,20.0,0.6247379454926625,0.034482758620689655,0.13793103448275862,0.03125,0.6934306569343066,0.9219512195121952,0.5880452342487884,0.038461538461538464,0.15384615384615385,0.025,0.6382978723404256,0.9080459770114943,D
Tottenham,Crystal Palace,L Mason,16410.0,9.0,1.36,3.0,0.0,2.0,-1.0,1.0,1.0,3.0,-2.0,16.90140857074929,148.0,134.0,2.0,3.0,78.0,58.0,25.0,17.0,296.4,199.39999999999972,491.0,384.0,686.0,624.0,5.0,3.0,7.0,5.0,32.0,28.0,4.0,1.0,61.0,44.0,114.0,96.0,159.0,133.0,122.0,135.0,134.0,149.0,74.0,73.0,10.0,19.0,0.7157434402332361,0.15625,0.21875,0.06557377049180328,0.7169811320754716,0.9104477611940298,0.6153846153846154,0.10714285714285714,0.17857142857142858,0.022727272727272728,0.7218045112781954,0.9060402684563759,D
Man City,Everton,A Marriner,16410.0,19.0,1.6785714285714286,4.0,1.0,0.0,8.0,1.0,3.0,1.0,0.0,26.66607616019381,139.0,127.0,2.0,2.0,92.0,70.0,32.0,24.0,283.4000000000001,300.2999999999999,738.0,682.0,951.0,871.0,10.0,4.0,12.0,9.0,62.0,30.0,12.0,2.0,76.0,53.0,89.0,77.0,148.0,129.0,119.0,160.0,127.0,182.0,71.0,59.0,19.0,15.0,0.7760252365930599,0.16129032258064516,0.1935483870967742,0.15789473684210525,0.6013513513513513,0.937007874015748,0.78300803673938,0.13333333333333333,0.3,0.03773584905660377,0.5968992248062015,0.8791208791208791,H
West Ham,Swansea,C Foy,16411.0,-4.0,0.875,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,-4.989530584358167,125.0,156.0,4.0,4.0,68.0,63.0,19.0,19.0,231.0000000000002,245.40000000000015,339.0,344.0,599.0,497.0,5.0,4.0,9.0,8.0,44.0,33.0,4.0,5.0,49.0,47.0,101.0,89.0,154.0,151.0,206.0,156.0,218.0,175.0,70.0,97.0,19.0,20.0,0.5659432387312187,0.11363636363636363,0.20454545454545456,0.08163265306122448,0.6558441558441559,0.944954128440367,0.6921529175050302,0.12121212121212122,0.24242424242424243,0.10638297872340426,0.5894039735099338,0.8914285714285715,H
Aston Villa,Leicester,C Pawson,16411.0,4.0,1.2352941176470589,1.0,3.0,1.0,0.0,0.0,1.0,4.0,-6.0,21.51732444791469,140.0,128.0,4.0,4.0,54.0,71.0,16.0,18.0,223.5000000000001,219.00000000000003,339.0,402.0,559.0,653.0,3.0,0.0,6.0,12.0,28.0,41.0,3.0,1.0,39.0,49.0,93.0,90.0,137.0,133.0,229.0,176.0,259.0,195.0,56.0,86.0,28.0,32.0,0.6064400715563506,0.10714285714285714,0.21428571428571427,0.07692307692307693,0.6788321167883211,0.8841698841698842,0.6156202143950995,0.0,0.2926829268292683,0.02040816326530612,0.6766917293233082,0.9025641025641026,H
Southampton,Man United,K Friend,16412.0,-1.0,0.9722222222222222,2.0,1.0,2.0,-1.0,4.0,0.0,1.0,5.0,-10.834479934479933,131.0,147.0,4.0,5.0,62.0,66.0,18.0,18.0,275.7,299.9000000000001,464.0,538.0,699.0,720.0,3.0,3.0,7.0,7.0,37.0,41.0,3.0,5.0,46.0,51.0,92.0,99.0,135.0,140.0,114.0,138.0,135.0,152.0,83.0,70.0,14.0,14.0,0.6638054363376252,0.08108108108108109,0.1891891891891892,0.06521739130434782,0.6814814814814815,0.8444444444444444,0.7472222222222222,0.07317073170731707,0.17073170731707318,0.09803921568627451,0.7071428571428572,0.9078947368421053,A
Arsenal,Newcastle,L Mason,16417.0,12.0,1.4444444444444444,2.0,0.0,3.0,-1.0,3.0,1.0,1.0,3.0,-4.442641148713115,143.0,128.0,3.0,7.0,86.0,49.0,32.0,17.0,281.7999999999999,238.19999999999996,580.0,368.0,807.0,568.0,5.0,6.0,16.0,8.0,53.0,29.0,5.0,5.0,71.0,35.0,83.0,100.0,122.0,128.0,90.0,172.0,104.0,190.0,93.0,92.0,13.0,17.0,0.7187112763320942,0.09433962264150944,0.3018867924528302,0.07042253521126761,0.680327868852459,0.8653846153846154,0.647887323943662,0.20689655172413793,0.27586206896551724,0.14285714285714285,0.78125,0.9052631578947369,H
West Brom,Aston Villa,M Dean,16417.0,-6.0,0.75,0.0,1.0,4.0,-6.0,2.0,3.0,0.0,2.0,-26.588937604027123,141.0,126.0,7.0,5.0,53.0,58.0,12.0,22.0,241.2,248.6000000000001,362.0,353.0,616.0,557.0,1.0,4.0,5.0,11.0,26.0,33.0,1.0,4.0,36.0,45.0,83.0,95.0,124.0,128.0,132.0,235.0,148.0,266.0,65.0,66.0,21.0,25.0,0.5876623376623377,0.038461538461538464,0.19230769230769232,0.027777777777777776,0.6693548387096774,0.8918918918918919,0.6337522441651705,0.12121212121212122,0.3333333333333333,0.08888888888888889,0.7421875,0.8834586466165414,H
Sunderland,West Ham,P Dowd,16417.0,-3.0,0.9032258064516129,0.0,4.0,1.0,-3.0,3.0,1.0,1.0,3.0,-6.013290413290413,176.0,122.0,7.0,6.0,47.0,73.0,14.0,24.0,216.6,247.00000000000014,325.0,391.0,491.0,672.0,1.0,6.0,4.0,13.0,22.0,49.0,0.0,5.0,28.0,55.0,92.0,76.0,157.0,114.0,101.0,193.0,119.0,202.0,83.0,74.0,22.0,19.0,0.6619144602851323,0.045454545454545456,0.18181818181818182,0.0,0.5859872611464968,0.8487394957983193,0.5818452380952381,0.12244897959183673,0.2653061224489796,0.09090909090909091,0.6666666666666666,0.9554455445544554,D
Leicester,Man City,J Moss,16417.0,-33.0,0.32653061224489793,0.0,1.0,4.0,-6.0,4.0,1.0,0.0,8.0,-51.198606725597706,127.0,134.0,5.0,2.0,67.0,95.0,17.0,29.0,197.6,283.00000000000006,332.0,786.0,566.0,994.0,1.0,10.0,8.0,10.0,35.0,63.0,1.0,11.0,44.0,78.0,91.0,92.0,142.0,151.0,181.0,129.0,199.0,137.0,85.0,78.0,33.0,22.0,0.5865724381625441,0.02857142857142857,0.22857142857142856,0.022727272727272728,0.6408450704225352,0.9095477386934674,0.7907444668008048,0.15873015873015872,0.15873015873015872,0.14102564102564102,0.609271523178808,0.9416058394160584,A
Chelsea,Hull,C Foy,16417.0,32.0,3.1333333333333333,3.0,1.0,1.0,5.0,0.0,2.0,3.0,-5.0,36.67414303754333,142.0,122.0,2.0,7.0,98.0,46.0,35.0,8.0,288.9,194.09999999999994,880.0,298.0,1081.0,482.0,8.0,1.0,17.0,6.0,56.0,32.0,7.0,1.0,86.0,33.0,98.0,99.0,155.0,143.0,120.0,184.0,134.0,201.0,45.0,91.0,15.0,27.0,0.8140610545790934,0.14285714285714285,0.30357142857142855,0.08139534883720931,0.632258064516129,0.8955223880597015,0.6182572614107884,0.03125,0.1875,0.030303030303030304,0.6923076923076923,0.9154228855721394,H
Burnley,Southampton,M Clattenburg,16417.0,-17.0,0.5142857142857142,2.0,2.0,1.0,0.0,1.0,1.0,3.0,-3.0,-2.6142247998285164,102.0,148.0,7.0,4.0,57.0,67.0,16.0,19.0,211.39999999999992,275.4,337.0,510.0,648.0,746.0,4.0,4.0,7.0,8.0,36.0,42.0,3.0,3.0,39.0,50.0,85.0,91.0,129.0,134.0,205.0,101.0,218.0,119.0,80.0,87.0,27.0,11.0,0.5200617283950617,0.1111111111111111,0.19444444444444445,0.07692307692307693,0.6589147286821705,0.9403669724770642,0.6836461126005362,0.09523809523809523,0.19047619047619047,0.06,0.6791044776119403,0.8487394957983193,H
Crystal Palace,Stoke,K Friend,16417.0,-6.0,0.7931034482758621,1.0,2.0,2.0,0.0,2.0,0.0,3.0,-1.0,-2.8304040404040514,146.0,152.0,7.0,7.0,65.0,67.0,20.0,20.0,177.49999999999974,242.3,329.0,387.0,553.0,597.0,3.0,5.0,6.0,5.0,34.0,39.0,1.0,5.0,46.0,43.0,112.0,96.0,153.0,154.0,139.0,143.0,152.0,158.0,73.0,47.0,22.0,13.0,0.5949367088607594,0.08823529411764706,0.17647058823529413,0.021739130434782608,0.7320261437908496,0.9144736842105263,0.6482412060301508,0.1282051282051282,0.1282051282051282,0.11627906976744186,0.6233766233766234,0.9050632911392406,D
Man United,Liverpool,M Atkinson,16418.0,4.0,1.125,5.0,0.0,0.0,7.0,2.0,1.0,2.0,0.0,18.254209615334936,138.0,146.0,5.0,4.0,60.0,66.0,18.0,13.0,299.60000000000014,276.80000000000007,557.0,482.0,735.0,711.0,5.0,5.0,5.0,4.0,36.0,33.0,6.0,3.0,45.0,43.0,102.0,100.0,137.0,142.0,142.0,198.0,151.0,213.0,74.0,74.0,13.0,28.0,0.7578231292517007,0.1388888888888889,0.1388888888888889,0.13333333333333333,0.7445255474452555,0.9403973509933775,0.6779184247538678,0.15151515151515152,0.12121212121212122,0.06976744186046512,0.704225352112676,0.9295774647887324,H
Swansea,Tottenham,R Madley,16418.0,0.0,1.0,2.0,1.0,2.0,0.0,2.0,1.0,2.0,-2.0,-0.030625148336596908,147.0,152.0,7.0,2.0,66.0,74.0,21.0,21.0,256.50000000000017,304.1,322.0,493.0,489.0,685.0,5.0,4.0,9.0,4.0,36.0,30.0,6.0,3.0,50.0,61.0,91.0,124.0,148.0,177.0,172.0,130.0,190.0,146.0,93.0,81.0,20.0,14.0,0.6584867075664622,0.1388888888888889,0.25,0.12,0.6148648648648649,0.9052631578947369,0.7197080291970803,0.13333333333333333,0.13333333333333333,0.04918032786885246,0.7005649717514124,0.8904109589041096,A
Everton,QPR,N Swarbrick,16419.0,9.0,1.5625,1.0,2.0,2.0,-1.0,2.0,1.0,2.0,0.0,-2.1096914977152466,145.0,132.0,3.0,9.0,62.0,78.0,23.0,21.0,281.49999999999994,237.90000000000006,598.0,376.0,785.0,632.0,4.0,5.0,10.0,10.0,28.0,47.0,2.0,3.0,47.0,51.0,77.0,101.0,125.0,159.0,184.0,274.0,210.0,296.0,62.0,76.0,24.0,30.0,0.7617834394904459,0.14285714285714285,0.35714285714285715,0.0425531914893617,0.616,0.8761904761904762,0.5949367088607594,0.10638297872340426,0.2127659574468085,0.058823529411764705,0.6352201257861635,0.9256756756756757,H
West Ham,Leicester,M Atkinson,16424.0,17.0,2.1333333333333333,3.0,1.0,1.0,3.0,0.0,1.0,4.0,-5.0,32.31042409246459,132.0,136.0,7.0,7.0,71.0,69.0,27.0,18.0,232.00000000000014,204.90000000000003,385.0,337.0,656.0,597.0,6.0,1.0,12.0,8.0,45.0,34.0,6.0,1.0,52.0,42.0,74.0,87.0,112.0,139.0,185.0,154.0,200.0,168.0,73.0,94.0,22.0,28.0,0.586890243902439,0.13333333333333333,0.26666666666666666,0.11538461538461539,0.6607142857142857,0.925,0.5644891122278057,0.029411764705882353,0.23529411764705882,0.023809523809523808,0.6258992805755396,0.9166666666666666,H
Man City,Crystal Palace,P Dowd,16424.0,28.0,2.3333333333333335,5.0,0.0,0.0,9.0,1.0,3.0,1.0,1.0,34.42055948867368,137.0,145.0,7.0,7.0,81.0,69.0,27.0,22.0,281.9000000000001,194.09999999999974,727.0,330.0,916.0,572.0,9.0,4.0,9.0,7.0,52.0,36.0,10.0,2.0,68.0,49.0,93.0,111.0,152.0,147.0,139.0,139.0,149.0,154.0,95.0,80.0,19.0,14.0,0.7936681222707423,0.17307692307692307,0.17307692307692307,0.14705882352941177,0.6118421052631579,0.9328859060402684,0.5769230769230769,0.1111111111111111,0.19444444444444445,0.04081632653061224,0.7551020408163265,0.9025974025974026,H
Southampton,Everton,J Moss,16424.0,7.0,1.25,0.0,1.0,4.0,-6.0,2.0,1.0,2.0,1.0,-7.321779302342506,146.0,136.0,3.0,4.0,64.0,59.0,17.0,21.0,270.99999999999994,276.6,505.0,519.0,731.0,703.0,2.0,3.0,9.0,7.0,37.0,26.0,1.0,3.0,49.0,43.0,91.0,98.0,136.0,150.0,97.0,182.0,113.0,211.0,87.0,53.0,12.0,24.0,0.6908344733242134,0.05405405405405406,0.24324324324324326,0.02040816326530612,0.6691176470588235,0.8584070796460177,0.7382645803698435,0.11538461538461539,0.2692307692307692,0.06976744186046512,0.6533333333333333,0.8625592417061612,H
Tottenham,Burnley,M Jones,16424.0,14.0,1.7,3.0,1.0,1.0,0.0,2.0,2.0,1.0,0.0,10.585104040143339,151.0,118.0,2.0,7.0,70.0,50.0,21.0,15.0,289.19999999999993,203.69999999999996,494.0,308.0,678.0,612.0,5.0,4.0,3.0,5.0,29.0,31.0,4.0,2.0,60.0,33.0,123.0,85.0,178.0,126.0,138.0,212.0,157.0,231.0,83.0,93.0,17.0,25.0,0.7286135693215339,0.1724137931034483,0.10344827586206896,0.06666666666666667,0.6910112359550562,0.8789808917197452,0.5032679738562091,0.12903225806451613,0.16129032258064516,0.06060606060606061,0.6746031746031746,0.9177489177489178,H
Hull,Swansea,M Clattenburg,16424.0,-17.0,0.46875,0.0,2.0,3.0,-6.0,1.0,1.0,3.0,-2.0,-11.852592696777968,154.0,141.0,7.0,5.0,42.0,70.0,7.0,19.0,181.59999999999994,262.1000000000002,272.0,346.0,452.0,506.0,1.0,5.0,5.0,8.0,28.0,42.0,1.0,5.0,29.0,54.0,111.0,102.0,159.0,153.0,175.0,172.0,193.0,189.0,100.0,98.0,25.0,18.0,0.6017699115044248,0.03571428571428571,0.17857142857142858,0.034482758620689655,0.6981132075471698,0.9067357512953368,0.6837944664031621,0.11904761904761904,0.19047619047619047,0.09259259259259259,0.6666666666666666,0.91005291005291,A
Aston Villa,Man United,L Mason,16424.0,-16.0,0.5897435897435898,2.0,2.0,1.0,1.0,5.0,0.0,0.0,9.0,-21.92347848230201,117.0,142.0,7.0,6.0,53.0,48.0,20.0,19.0,257.80000000000007,282.4000000000001,363.0,484.0,546.0,670.0,4.0,8.0,9.0,5.0,31.0,35.0,4.0,7.0,41.0,37.0,106.0,121.0,143.0,170.0,214.0,133.0,238.0,145.0,61.0,84.0,18.0,17.0,0.6648351648351648,0.12903225806451613,0.2903225806451613,0.0975609756097561,0.7412587412587412,0.8991596638655462,0.7223880597014926,0.22857142857142856,0.14285714285714285,0.1891891891891892,0.711764705882353,0.9172413793103448,D
QPR,West Brom,C Pawson,16424.0,-5.0,0.7619047619047619,2.0,0.0,3.0,-2.0,1.0,1.0,3.0,-3.0,0.5252034077034082,113.0,145.0,4.0,7.0,78.0,56.0,21.0,15.0,243.10000000000008,231.9,380.0,384.0,611.0,618.0,5.0,2.0,8.0,8.0,41.0,28.0,2.0,1.0,52.0,38.0,101.0,77.0,161.0,110.0,245.0,126.0,265.0,141.0,65.0,73.0,24.0,21.0,0.6219312602291326,0.12195121951219512,0.1951219512195122,0.038461538461538464,0.6273291925465838,0.9245283018867925,0.6213592233009708,0.07142857142857142,0.2857142857142857,0.02631578947368421,0.7,0.8936170212765957,H
Liverpool,Arsenal,M Oliver,16425.0,-10.0,0.7435897435897436,2.0,1.0,2.0,-2.0,3.0,0.0,2.0,3.0,-10.90438392203098,136.0,141.0,3.0,7.0,73.0,91.0,18.0,32.0,263.9000000000001,281.4999999999999,472.0,627.0,691.0,863.0,5.0,8.0,10.0,14.0,38.0,57.0,2.0,7.0,49.0,72.0,102.0,93.0,141.0,128.0,190.0,96.0,203.0,112.0,70.0,90.0,23.0,15.0,0.683068017366136,0.13157894736842105,0.2631578947368421,0.04081632653061224,0.723404255319149,0.9359605911330049,0.7265353418308227,0.14035087719298245,0.24561403508771928,0.09722222222222222,0.7265625,0.8571428571428571,D
Newcastle,Sunderland,A Taylor,16425.0,1.0,1.0384615384615385,2.0,1.0,2.0,-2.0,0.0,4.0,1.0,-3.0,2.0117390660868963,142.0,172.0,3.0,8.0,51.0,50.0,18.0,15.0,244.79999999999995,231.80000000000004,352.0,356.0,536.0,520.0,5.0,2.0,9.0,4.0,28.0,24.0,4.0,0.0,35.0,29.0,98.0,88.0,130.0,148.0,163.0,114.0,180.0,130.0,83.0,79.0,20.0,24.0,0.6567164179104478,0.17857142857142858,0.32142857142857145,0.11428571428571428,0.7538461538461538,0.9055555555555556,0.6846153846153846,0.08333333333333333,0.16666666666666666,0.0,0.5945945945945946,0.8769230769230769,A
Stoke,Chelsea,N Swarbrick,16426.0,-20.0,0.574468085106383,1.0,1.0,3.0,-2.0,3.0,1.0,1.0,6.0,-24.987025809717807,144.0,117.0,9.0,5.0,63.0,95.0,19.0,33.0,259.1,306.6,396.0,920.0,619.0,1127.0,5.0,8.0,6.0,14.0,35.0,50.0,3.0,8.0,38.0,85.0,92.0,94.0,146.0,148.0,151.0,94.0,167.0,106.0,55.0,50.0,15.0,10.0,0.6397415185783522,0.14285714285714285,0.17142857142857143,0.07894736842105263,0.6301369863013698,0.9041916167664671,0.8163265306122449,0.16,0.28,0.09411764705882353,0.6351351351351351,0.8867924528301887,A
Chelsea,West Ham,M Oliver,16430.0,15.0,1.4285714285714286,3.0,1.0,1.0,6.0,4.0,1.0,0.0,6.0,3.6997512886417496,122.0,114.0,3.0,6.0,89.0,67.0,31.0,26.0,281.6,236.1000000000002,743.0,359.0,947.0,637.0,8.0,7.0,13.0,10.0,44.0,44.0,8.0,6.0,81.0,47.0,122.0,73.0,183.0,118.0,121.0,222.0,137.0,238.0,62.0,71.0,17.0,22.0,0.7845828933474129,0.18181818181818182,0.29545454545454547,0.09876543209876543,0.6666666666666666,0.8832116788321168,0.5635792778649922,0.1590909090909091,0.22727272727272727,0.1276595744680851,0.6186440677966102,0.9327731092436975,H
Sunderland,Hull,A Marriner,16430.0,12.0,1.8571428571428572,1.0,3.0,1.0,-2.0,0.0,2.0,3.0,-6.0,18.226955826181424,180.0,155.0,5.0,6.0,56.0,43.0,13.0,8.0,219.90000000000003,212.89999999999992,342.0,319.0,504.0,550.0,3.0,1.0,3.0,5.0,27.0,24.0,1.0,1.0,35.0,29.0,100.0,111.0,166.0,154.0,115.0,139.0,132.0,152.0,86.0,95.0,22.0,19.0,0.6785714285714286,0.1111111111111111,0.1111111111111111,0.02857142857142857,0.6024096385542169,0.8712121212121212,0.58,0.041666666666666664,0.20833333333333334,0.034482758620689655,0.7207792207792207,0.9144736842105263,A
Swansea,Aston Villa,R East,16430.0,8.0,1.3333333333333333,2.0,1.0,2.0,0.0,2.0,2.0,1.0,1.0,-0.6808587565461011,114.0,116.0,6.0,6.0,75.0,56.0,19.0,23.0,264.70000000000016,257.50000000000006,353.0,342.0,521.0,496.0,5.0,4.0,9.0,10.0,45.0,34.0,4.0,3.0,60.0,43.0,93.0,102.0,135.0,141.0,205.0,202.0,221.0,223.0,91.0,71.0,13.0,15.0,0.6775431861804223,0.1111111111111111,0.2,0.06666666666666667,0.6888888888888889,0.9276018099547512,0.6895161290322581,0.11764705882352941,0.29411764705882354,0.06976744186046512,0.723404255319149,0.905829596412556,H
Man United,Newcastle,M Jones,16430.0,10.0,1.3703703703703705,4.0,1.0,0.0,8.0,1.0,1.0,3.0,-4.0,20.62479549436071,130.0,157.0,6.0,5.0,52.0,52.0,26.0,19.0,309.3000000000001,242.99999999999991,572.0,357.0,769.0,545.0,8.0,4.0,10.0,12.0,35.0,27.0,7.0,3.0,43.0,38.0,104.0,100.0,148.0,136.0,97.0,152.0,105.0,169.0,88.0,68.0,15.0,17.0,0.7438231469440832,0.22857142857142856,0.2857142857142857,0.16279069767441862,0.7027027027027027,0.9238095238095239,0.655045871559633,0.14814814814814814,0.4444444444444444,0.07894736842105263,0.7352941176470589,0.8994082840236687,H
Everton,Stoke,L Mason,16430.0,-1.0,0.9615384615384616,1.0,1.0,3.0,-3.0,1.0,1.0,3.0,-3.0,-3.9751685296275525,143.0,174.0,6.0,3.0,58.0,51.0,21.0,17.0,276.6,235.7,554.0,331.0,748.0,530.0,1.0,4.0,7.0,6.0,26.0,26.0,2.0,2.0,40.0,35.0,100.0,102.0,139.0,161.0,141.0,151.0,163.0,169.0,55.0,53.0,23.0,19.0,0.7406417112299465,0.038461538461538464,0.2692307692307692,0.05,0.7194244604316546,0.8650306748466258,0.6245283018867924,0.15384615384615385,0.23076923076923078,0.05714285714285714,0.6335403726708074,0.893491124260355,A
Burnley,Liverpool,A Taylor,16430.0,-8.0,0.7037037037037037,1.0,2.0,2.0,-2.0,2.0,2.0,1.0,0.0,-10.124179812927544,117.0,148.0,6.0,4.0,54.0,88.0,16.0,27.0,211.49999999999997,265.00000000000006,336.0,484.0,648.0,706.0,2.0,6.0,7.0,14.0,33.0,46.0,2.0,3.0,36.0,64.0,79.0,124.0,119.0,168.0,173.0,168.0,188.0,181.0,90.0,67.0,23.0,18.0,0.5185185185185185,0.06060606060606061,0.21212121212121213,0.05555555555555555,0.6638655462184874,0.9202127659574468,0.6855524079320113,0.13043478260869565,0.30434782608695654,0.046875,0.7380952380952381,0.9281767955801105,A
Arsenal,QPR,M Atkinson,16430.0,19.0,2.0555555555555554,3.0,1.0,1.0,4.0,3.0,0.0,2.0,0.0,12.015874620874623,137.0,111.0,4.0,6.0,75.0,82.0,26.0,24.0,255.09999999999994,239.80000000000007,561.0,393.0,785.0,634.0,10.0,8.0,10.0,8.0,48.0,45.0,8.0,4.0,57.0,51.0,99.0,85.0,135.0,134.0,107.0,245.0,126.0,264.0,103.0,76.0,15.0,24.0,0.7146496815286624,0.20833333333333334,0.20833333333333334,0.14035087719298245,0.7333333333333333,0.8492063492063492,0.6198738170347003,0.17777777777777778,0.17777777777777778,0.0784313725490196,0.6343283582089553,0.928030303030303,H
Leicester,Tottenham,N Swarbrick,16430.0,-20.0,0.4117647058823529,0.0,0.0,5.0,-7.0,3.0,1.0,1.0,0.0,-37.82601868116686,142.0,152.0,6.0,6.0,66.0,70.0,18.0,21.0,217.1,281.2999999999999,361.0,493.0,643.0,678.0,1.0,5.0,9.0,5.0,33.0,32.0,1.0,5.0,38.0,60.0,87.0,130.0,140.0,187.0,157.0,149.0,168.0,167.0,106.0,94.0,28.0,15.0,0.5614307931570762,0.030303030303030304,0.2727272727272727,0.02631578947368421,0.6214285714285714,0.9345238095238095,0.7271386430678466,0.15625,0.15625,0.08333333333333333,0.6951871657754011,0.8922155688622755,A
Crystal Palace,Southampton,M Dean,16430.0,-19.0,0.4864864864864865,0.0,3.0,2.0,-4.0,1.0,0.0,4.0,-3.0,-9.242854548506731,157.0,158.0,6.0,6.0,60.0,60.0,18.0,16.0,184.59999999999974,249.79999999999995,321.0,460.0,556.0,668.0,2.0,3.0,8.0,8.0,34.0,33.0,1.0,1.0,41.0,46.0,116.0,119.0,155.0,179.0,134.0,105.0,154.0,120.0,94.0,88.0,16.0,10.0,0.5773381294964028,0.058823529411764705,0.23529411764705882,0.024390243902439025,0.7483870967741936,0.8701298701298701,0.688622754491018,0.09090909090909091,0.24242424242424243,0.021739130434782608,0.664804469273743,0.875,A
West Brom,Man City,M Clattenburg,16430.0,-31.0,0.3673469387755102,1.0,1.0,3.0,-2.0,5.0,0.0,0.0,11.0,-42.681310006272014,115.0,126.0,6.0,6.0,67.0,73.0,20.0,20.0,263.4,295.10000000000014,443.0,777.0,726.0,961.0,4.0,10.0,10.0,5.0,39.0,45.0,3.0,11.0,47.0,64.0,73.0,95.0,101.0,156.0,125.0,155.0,137.0,167.0,79.0,86.0,23.0,18.0,0.6101928374655647,0.10256410256410256,0.2564102564102564,0.06382978723404255,0.7227722772277227,0.9124087591240876,0.8085327783558793,0.2222222222222222,0.1111111111111111,0.171875,0.6089743589743589,0.9281437125748503,A
Tottenham,Man United,J Moss,16432.0,-6.0,0.85,3.0,1.0,1.0,0.0,4.0,1.0,0.0,7.0,-12.213851427243164,133.0,141.0,2.0,2.0,65.0,49.0,18.0,24.0,292.39999999999986,294.2000000000001,492.0,534.0,690.0,733.0,4.0,10.0,6.0,9.0,33.0,34.0,5.0,8.0,56.0,40.0,127.0,108.0,177.0,159.0,168.0,104.0,188.0,112.0,89.0,90.0,19.0,17.0,0.7130434782608696,0.12121212121212122,0.18181818181818182,0.08928571428571429,0.7175141242937854,0.8936170212765957,0.7285129604365621,0.29411764705882354,0.2647058823529412,0.2,0.6792452830188679,0.9285714285714286,D
