home,away,Referee,time,HRestDay,ARestDay,HS_Acc,AS_Acc,HST_Acc,AST_Acc,H_Poss_Acc,A_Poss_Acc,H_atk_3rd_tot_Acc,A_atk_3rd_tot_Acc,H_atk_3rd_Acc,A_atk_3rd_Acc,H_interceptions_Acc,A_interceptions_Acc,H_Enemy_Acc,A_Enemy_Acc,HAccP - AAccP,H/A,HWin,HDraw,HLose,H goal Diff,AWin,ADraw,ALose,A goal diff,moraldiff + h-a,H_atkPass_ratio,A_atkPass_ratio,y
Man City,Sunderland,L Probert,15619.0,2.0,7.0,80.0,28.0,50.0,17.0,289.7000000000001,188.69999999999993,872.0,417.0,655.0,272.0,55.0,83.0,106.0,104.0,4.0,1.173913043478261,2.0,3.0,0.0,3.0,1.0,4.0,0.0,1.0,5.223022774327131,0.7511467889908257,0.6522781774580336,H
Chelsea,Norwich,A Taylor,15619.0,3.0,7.0,74.0,61.0,40.0,32.0,279.70000000000005,222.5000000000002,846.0,687.0,635.0,398.0,67.0,43.0,104.0,99.0,13.0,1.7222222222222223,4.0,1.0,0.0,6.0,0.0,3.0,2.0,-4.0,26.816313762310756,0.7505910165484634,0.5793304221251819,H
West Ham,Arsenal,P Dowd,15619.0,4.0,2.0,70.0,71.0,43.0,34.0,244.80000000000015,273.90000000000003,710.0,789.0,435.0,609.0,40.0,95.0,99.0,108.0,2.0,1.0833333333333333,2.0,2.0,1.0,1.0,2.0,2.0,1.0,6.0,1.3395712857856807,0.6126760563380281,0.7718631178707225,A
Swansea,Reading,M Dean,15619.0,7.0,7.0,60.0,42.0,33.0,18.0,293.4000000000001,217.80000000000004,635.0,626.0,474.0,356.0,50.0,68.0,102.0,107.0,4.0,1.2222222222222223,1.0,1.0,3.0,-4.0,0.0,2.0,3.0,-5.0,3.2234286803966405,0.7464566929133858,0.5686900958466453,D
Southampton,Fulham,M Clattenburg,15620.0,8.0,8.0,58.0,70.0,27.0,50.0,252.29999999999973,223.29999999999995,703.0,553.0,470.0,402.0,96.0,100.0,107.0,108.0,-6.0,0.75,1.0,0.0,4.0,-7.0,2.0,0.0,3.0,-1.0,-9.285719523443305,0.6685633001422475,0.7269439421338155,D
Tottenham,Aston Villa,N Swarbrick,15620.0,2.0,7.0,83.0,64.0,50.0,35.0,247.49999999999991,226.60000000000028,564.0,606.0,422.0,339.0,71.0,85.0,105.0,108.0,6.0,1.3,3.0,2.0,0.0,4.0,1.0,2.0,2.0,-3.0,17.150223938129443,0.74822695035461,0.5594059405940595,H
Liverpool,Stoke,L Mason,15620.0,2.0,8.0,75.0,50.0,39.0,26.0,286.7000000000002,177.70000000000007,807.0,521.0,590.0,295.0,63.0,79.0,105.0,113.0,-2.0,0.9090909090909091,1.0,2.0,2.0,0.0,1.0,3.0,1.0,1.0,-5.982282629651053,0.7311028500619579,0.5662188099808061,D
Newcastle,Man United,H Webb,15620.0,2.0,4.0,62.0,78.0,29.0,42.0,246.3,289.10000000000014,530.0,873.0,306.0,692.0,44.0,58.0,101.0,102.0,-3.0,0.8888888888888888,1.0,3.0,1.0,-1.0,4.0,0.0,1.0,6.0,-7.811398601398597,0.5773584905660377,0.7926689576174112,A
Norwich,Arsenal,L Probert,15633.0,14.0,13.0,55.0,75.0,32.0,42.0,198.5000000000002,275.90000000000003,631.0,828.0,364.0,646.0,47.0,92.0,110.0,113.0,-9.0,0.6538461538461539,0.0,2.0,3.0,-7.0,3.0,1.0,1.0,8.0,-21.304636925358007,0.5768621236133122,0.7801932367149759,H
West Ham,Southampton,N Swarbrick,15633.0,13.0,13.0,70.0,57.0,40.0,24.0,238.30000000000015,244.99999999999974,677.0,707.0,414.0,458.0,50.0,91.0,100.0,111.0,7.0,1.3888888888888888,2.0,2.0,1.0,2.0,1.0,1.0,3.0,-5.0,12.800160517232129,0.6115214180206795,0.6478076379066479,H
West Brom,Man City,M Clattenburg,15633.0,14.0,14.0,60.0,95.0,35.0,61.0,221.69999999999993,298.9000000000001,558.0,931.0,351.0,714.0,36.0,53.0,97.0,109.0,-1.0,0.9655172413793104,3.0,1.0,1.0,1.0,3.0,2.0,0.0,6.0,-6.209040983171423,0.6290322580645161,0.7669172932330827,A
Swansea,Wigan,M Jones,15633.0,14.0,14.0,75.0,53.0,42.0,27.0,302.7000000000002,276.4000000000001,696.0,605.0,512.0,408.0,57.0,56.0,97.0,112.0,3.0,1.1578947368421053,0.0,2.0,3.0,-7.0,0.0,2.0,3.0,-6.0,0.17885702398287862,0.735632183908046,0.6743801652892562,H
Man United,Stoke,A Taylor,15633.0,13.0,13.0,70.0,48.0,40.0,25.0,283.7000000000001,181.50000000000009,738.0,519.0,550.0,291.0,59.0,80.0,103.0,112.0,7.0,1.3181818181818181,4.0,0.0,1.0,8.0,1.0,3.0,1.0,1.0,9.43603063603063,0.7452574525745257,0.5606936416184971,H
Fulham,Aston Villa,C Foy,15633.0,13.0,13.0,70.0,65.0,44.0,37.0,241.29999999999993,231.50000000000026,605.0,624.0,433.0,358.0,105.0,79.0,106.0,111.0,5.0,1.263157894736842,2.0,1.0,2.0,0.0,1.0,2.0,2.0,-3.0,5.668870508949933,0.715702479338843,0.5737179487179487,H
Liverpool,Reading,R East,15633.0,13.0,14.0,76.0,41.0,36.0,21.0,300.9000000000002,193.70000000000005,852.0,602.0,628.0,334.0,66.0,82.0,104.0,108.0,2.0,1.1111111111111112,1.0,2.0,2.0,0.0,0.0,2.0,3.0,-5.0,7.88105415433791,0.7370892018779343,0.5548172757475083,H
Tottenham,Chelsea,M Dean,15633.0,13.0,14.0,88.0,71.0,50.0,42.0,244.39999999999992,277.0,567.0,905.0,437.0,684.0,80.0,52.0,102.0,101.0,-5.0,0.8484848484848485,4.0,1.0,0.0,6.0,4.0,1.0,0.0,7.0,-2.726578018858337,0.7707231040564374,0.7558011049723757,A
QPR,Everton,J Moss,15634.0,15.0,15.0,54.0,92.0,32.0,54.0,255.10000000000028,271.7999999999999,615.0,849.0,390.0,628.0,69.0,70.0,117.0,102.0,-12.0,0.5714285714285714,0.0,1.0,4.0,-5.0,2.0,2.0,1.0,3.0,-23.516766795370913,0.6341463414634146,0.7396937573616019,D
Sunderland,Newcastle,M Atkinson,15634.0,15.0,14.0,33.0,64.0,21.0,27.0,198.29999999999993,244.3,434.0,556.0,282.0,330.0,74.0,49.0,110.0,103.0,-1.0,0.9565217391304348,1.0,3.0,1.0,-2.0,1.0,3.0,1.0,-2.0,-0.22546897546898848,0.6497695852534562,0.5935251798561151,D
Man City,Swansea,M Atkinson,15640.0,2.0,7.0,97.0,79.0,62.0,43.0,295.10000000000014,286.50000000000017,844.0,681.0,641.0,478.0,55.0,70.0,117.0,95.0,7.0,1.2916666666666667,3.0,2.0,0.0,5.0,1.0,1.0,3.0,-6.0,24.280384791655216,0.759478672985782,0.7019089574155654,H
Arsenal,QPR,A Taylor,15640.0,2.0,6.0,77.0,59.0,42.0,33.0,300.9000000000001,272.00000000000017,898.0,647.0,719.0,426.0,85.0,76.0,110.0,122.0,9.0,1.5625,2.0,1.0,2.0,5.0,0.0,2.0,3.0,-3.0,12.05477881715576,0.8006681514476615,0.6584234930448223,H
Stoke,Sunderland,M Halsey,15640.0,7.0,6.0,40.0,45.0,23.0,24.0,186.20000000000005,227.59999999999994,512.0,475.0,277.0,318.0,74.0,76.0,119.0,108.0,-1.0,0.9545454545454546,1.0,2.0,2.0,-1.0,1.0,3.0,1.0,-2.0,-3.4542891973926366,0.541015625,0.6694736842105263,D
Reading,Fulham,M Jones,15640.0,7.0,7.0,42.0,73.0,21.0,39.0,208.50000000000003,237.09999999999988,647.0,629.0,353.0,445.0,83.0,104.0,105.0,103.0,-9.0,0.6538461538461539,0.0,2.0,3.0,-4.0,3.0,1.0,1.0,4.0,-20.955003450655624,0.5455950540958269,0.7074721780604134,D
Wigan,West Ham,J Moss,15640.0,7.0,7.0,54.0,62.0,29.0,36.0,260.1000000000001,231.90000000000015,572.0,657.0,383.0,380.0,62.0,54.0,113.0,96.0,-9.0,0.6666666666666666,0.0,1.0,4.0,-7.0,2.0,2.0,1.0,2.0,-21.331831505641574,0.6695804195804196,0.578386605783866,H
Aston Villa,Norwich,P Dowd,15640.0,7.0,6.0,61.0,52.0,32.0,31.0,232.50000000000026,188.1000000000002,649.0,597.0,360.0,347.0,81.0,48.0,113.0,116.0,-1.0,0.9473684210526315,1.0,1.0,3.0,-4.0,1.0,1.0,3.0,-6.0,-2.2935666558881476,0.5546995377503852,0.5812395309882747,D
Newcastle,West Brom,C Foy,15641.0,2.0,8.0,58.0,62.0,28.0,35.0,227.1,221.29999999999995,513.0,563.0,286.0,369.0,54.0,35.0,106.0,101.0,-4.0,0.8518518518518519,1.0,3.0,1.0,-2.0,2.0,1.0,2.0,-2.0,0.2202479554428649,0.557504873294347,0.655417406749556,H
Chelsea,Man United,M Clattenburg,15641.0,4.0,4.0,71.0,65.0,43.0,39.0,282.3,292.8000000000001,890.0,758.0,670.0,568.0,53.0,52.0,106.0,106.0,4.0,1.1290322580645162,4.0,1.0,0.0,7.0,4.0,0.0,1.0,9.0,7.525797534974394,0.7528089887640449,0.7493403693931399,A
Everton,Liverpool,A Marriner,15641.0,7.0,2.0,90.0,82.0,53.0,41.0,259.0999999999999,304.7000000000002,822.0,851.0,598.0,625.0,70.0,70.0,95.0,101.0,6.0,1.2727272727272727,2.0,3.0,0.0,5.0,2.0,2.0,1.0,3.0,7.479352226720639,0.7274939172749392,0.7344300822561692,D
Southampton,Tottenham,L Mason,15641.0,8.0,2.0,53.0,96.0,20.0,57.0,261.19999999999976,224.99999999999991,687.0,512.0,444.0,384.0,79.0,94.0,114.0,115.0,-10.0,0.6296296296296297,1.0,1.0,3.0,-7.0,4.0,0.0,1.0,4.0,-20.51406494613655,0.6462882096069869,0.75,A
West Ham,Man City,H Webb,15647.0,7.0,6.0,68.0,92.0,43.0,56.0,226.40000000000012,282.60000000000014,685.0,848.0,424.0,641.0,56.0,66.0,94.0,120.0,-7.0,0.7878787878787878,2.0,1.0,2.0,1.0,4.0,1.0,0.0,6.0,-21.239687924854774,0.618978102189781,0.7558962264150944,D
Swansea,Chelsea,K Friend,15647.0,2.0,2.0,78.0,72.0,43.0,45.0,274.9000000000002,283.7,644.0,880.0,451.0,660.0,80.0,54.0,107.0,118.0,-11.0,0.6764705882352942,1.0,1.0,3.0,-5.0,4.0,0.0,1.0,6.0,-22.183323221087402,0.7003105590062112,0.75,D
Norwich,Stoke,A Marriner,15647.0,2.0,7.0,46.0,47.0,23.0,26.0,197.7000000000002,204.60000000000005,646.0,542.0,397.0,318.0,53.0,67.0,110.0,116.0,-2.0,0.9047619047619048,1.0,1.0,3.0,-6.0,1.0,2.0,2.0,-1.0,-4.897785717051189,0.6145510835913313,0.5867158671586716,H
Tottenham,Wigan,M Atkinson,15647.0,2.0,3.0,85.0,63.0,50.0,38.0,214.99999999999986,266.70000000000005,453.0,612.0,333.0,425.0,103.0,64.0,112.0,116.0,9.0,1.45,4.0,0.0,1.0,3.0,1.0,1.0,3.0,-2.0,18.955533914343974,0.7350993377483444,0.6944444444444444,A
Sunderland,Aston Villa,M Jones,15647.0,3.0,3.0,45.0,51.0,23.0,24.0,241.29999999999995,231.90000000000032,505.0,584.0,329.0,306.0,72.0,81.0,110.0,107.0,4.0,1.2222222222222223,1.0,3.0,1.0,-2.0,0.0,2.0,3.0,-6.0,13.477463549522373,0.6514851485148515,0.523972602739726,A
Fulham,Everton,N Swarbrick,15647.0,7.0,6.0,66.0,90.0,33.0,51.0,239.99999999999991,256.99999999999994,592.0,813.0,401.0,589.0,97.0,82.0,95.0,95.0,-2.0,0.9285714285714286,2.0,2.0,1.0,1.0,2.0,3.0,0.0,5.0,-5.710045389393208,0.6773648648648649,0.7244772447724477,D
Man United,Arsenal,M Dean,15647.0,2.0,3.0,63.0,78.0,36.0,41.0,291.9000000000001,317.4000000000001,734.0,945.0,550.0,757.0,52.0,84.0,119.0,108.0,6.0,1.2222222222222223,4.0,0.0,1.0,6.0,2.0,1.0,2.0,1.0,14.026375392802798,0.7493188010899182,0.801058201058201,H
Liverpool,Newcastle,A Taylor,15648.0,3.0,7.0,74.0,57.0,37.0,27.0,282.6000000000002,235.8,800.0,531.0,576.0,312.0,75.0,60.0,108.0,109.0,-3.0,0.88,2.0,2.0,1.0,3.0,2.0,2.0,1.0,-1.0,-2.2417806830850324,0.72,0.5875706214689266,D
QPR,Reading,M Oliver,15648.0,8.0,4.0,53.0,53.0,30.0,28.0,252.80000000000018,200.3,611.0,637.0,400.0,340.0,78.0,87.0,120.0,111.0,-2.0,0.8823529411764706,0.0,1.0,4.0,-4.0,0.0,3.0,2.0,-2.0,-7.982414872708995,0.6546644844517185,0.533751962323391,D
West Brom,Southampton,M Halsey,15649.0,8.0,5.0,60.0,55.0,31.0,22.0,233.89999999999992,263.49999999999983,585.0,724.0,374.0,474.0,46.0,78.0,103.0,118.0,10.0,1.625,2.0,1.0,2.0,0.0,1.0,1.0,3.0,-3.0,9.889459271118582,0.6393162393162393,0.6546961325966851,H
Stoke,QPR,M Atkinson,15654.0,7.0,6.0,42.0,67.0,23.0,36.0,220.70000000000007,252.2000000000002,607.0,574.0,347.0,382.0,73.0,81.0,108.0,115.0,5.0,1.3333333333333333,1.0,2.0,2.0,-1.0,0.0,2.0,3.0,-3.0,8.063263542265364,0.57166392092257,0.6655052264808362,H
Wigan,West Brom,N Swarbrick,15654.0,7.0,4.0,52.0,67.0,33.0,33.0,252.00000000000003,224.49999999999991,541.0,586.0,359.0,385.0,71.0,52.0,122.0,100.0,-6.0,0.7857142857142857,2.0,1.0,2.0,0.0,2.0,1.0,2.0,1.0,0.717000040124006,0.6635859519408502,0.6569965870307167,A
Southampton,Swansea,A Marriner,15654.0,4.0,7.0,52.0,69.0,23.0,39.0,259.5999999999998,278.6000000000002,677.0,679.0,438.0,497.0,72.0,79.0,123.0,117.0,-8.0,0.6521739130434783,0.0,1.0,4.0,-8.0,1.0,2.0,2.0,-2.0,-13.868788227511924,0.6469719350073855,0.7319587628865979,D
Aston Villa,Man United,K Friend,15654.0,7.0,2.0,52.0,66.0,28.0,39.0,236.70000000000027,291.60000000000014,600.0,727.0,337.0,539.0,73.0,55.0,112.0,127.0,-15.0,0.5714285714285714,1.0,2.0,2.0,-2.0,4.0,0.0,1.0,6.0,-20.944641049841277,0.5616666666666666,0.7414030261348006,A
Everton,Sunderland,L Mason,15654.0,7.0,7.0,86.0,52.0,47.0,22.0,264.5999999999999,258.2,817.0,570.0,577.0,378.0,87.0,71.0,97.0,104.0,7.0,1.3333333333333333,1.0,4.0,0.0,2.0,1.0,2.0,2.0,-3.0,13.521672771672769,0.7062423500611995,0.6631578947368421,H
Arsenal,Fulham,P Dowd,15654.0,3.0,7.0,75.0,62.0,40.0,29.0,310.9000000000001,244.49999999999991,879.0,596.0,695.0,412.0,71.0,97.0,116.0,102.0,0.0,1.0,2.0,0.0,3.0,0.0,1.0,3.0,1.0,0.0,-6.3147568759840595,0.7906712172923777,0.6912751677852349,D
Reading,Norwich,C Foy,15654.0,6.0,7.0,63.0,50.0,35.0,28.0,197.1,194.1000000000002,635.0,625.0,343.0,385.0,89.0,56.0,102.0,109.0,-4.0,0.8095238095238095,0.0,4.0,1.0,-1.0,2.0,1.0,2.0,-4.0,-5.675470776878949,0.5401574803149606,0.616,D
Chelsea,Liverpool,H Webb,15655.0,3.0,2.0,66.0,81.0,43.0,41.0,271.8,295.9000000000002,782.0,844.0,586.0,604.0,53.0,75.0,120.0,107.0,12.0,1.5454545454545454,3.0,1.0,1.0,5.0,2.0,3.0,0.0,4.0,6.787213164161404,0.7493606138107417,0.7156398104265402,D
Man City,Tottenham,M Oliver,15655.0,4.0,2.0,96.0,80.0,54.0,46.0,306.4000000000001,222.7999999999999,941.0,480.0,739.0,353.0,56.0,109.0,121.0,113.0,5.0,1.1785714285714286,4.0,1.0,0.0,6.0,3.0,0.0,2.0,1.0,15.761440061606919,0.7853347502656748,0.7354166666666667,H
Newcastle,West Ham,M Dean,15655.0,2.0,7.0,51.0,54.0,22.0,33.0,217.7,200.1000000000001,468.0,648.0,273.0,397.0,60.0,56.0,111.0,106.0,-1.0,0.9615384615384616,1.0,3.0,1.0,-2.0,2.0,1.0,2.0,1.0,4.512363433667787,0.5833333333333334,0.6126543209876543,A
Norwich,Man United,A Taylor,15661.0,7.0,6.0,50.0,67.0,24.0,38.0,211.9000000000002,287.00000000000017,621.0,723.0,376.0,543.0,58.0,53.0,108.0,123.0,-16.0,0.5675675675675675,2.0,2.0,1.0,-1.0,5.0,0.0,0.0,8.0,-20.579475164149564,0.605475040257649,0.7510373443983402,H
West Brom,Chelsea,M Oliver,15661.0,7.0,5.0,60.0,68.0,30.0,41.0,215.99999999999991,266.3,558.0,791.0,360.0,585.0,56.0,51.0,102.0,117.0,-4.0,0.8823529411764706,3.0,0.0,2.0,2.0,2.0,2.0,1.0,4.0,-6.477278356634219,0.6451612903225806,0.7395701643489254,H
Reading,Everton,M Atkinson,15661.0,7.0,7.0,56.0,85.0,31.0,48.0,199.00000000000003,274.79999999999995,596.0,864.0,319.0,603.0,90.0,73.0,99.0,99.0,-13.0,0.5666666666666667,0.0,4.0,1.0,-1.0,1.0,4.0,0.0,1.0,-16.045004668534073,0.535234899328859,0.6979166666666666,H
Newcastle,Swansea,P Dowd,15661.0,6.0,7.0,57.0,66.0,28.0,42.0,214.9,269.2000000000002,467.0,677.0,273.0,488.0,65.0,86.0,119.0,112.0,1.0,1.0434782608695652,1.0,2.0,2.0,-3.0,1.0,3.0,1.0,0.0,-2.40996622825514,0.5845824411134903,0.7208271787296898,A
Man City,Aston Villa,J Moss,15661.0,6.0,6.0,91.0,43.0,50.0,27.0,297.2000000000001,209.80000000000027,838.0,572.0,639.0,320.0,57.0,92.0,124.0,121.0,16.0,1.8421052631578947,4.0,1.0,0.0,6.0,1.0,1.0,3.0,-3.0,28.782777057943917,0.7625298329355609,0.5594405594405595,H
Liverpool,Wigan,K Friend,15661.0,5.0,7.0,80.0,58.0,40.0,36.0,285.7000000000002,267.70000000000005,805.0,609.0,575.0,432.0,72.0,81.0,122.0,129.0,1.0,1.0476190476190477,1.0,4.0,0.0,1.0,2.0,1.0,2.0,0.0,3.3789131920710886,0.7142857142857143,0.7093596059113301,H
Arsenal,Tottenham,H Webb,15661.0,7.0,6.0,76.0,76.0,44.0,42.0,315.9000000000001,234.99999999999991,876.0,538.0,685.0,372.0,64.0,119.0,113.0,118.0,-1.0,0.9629629629629629,2.0,1.0,2.0,1.0,2.0,0.0,3.0,-1.0,3.3715471456647954,0.7819634703196348,0.6914498141263941,H
QPR,Southampton,M Dean,15661.0,7.0,7.0,71.0,55.0,35.0,26.0,256.6000000000002,260.39999999999975,565.0,690.0,398.0,449.0,74.0,79.0,111.0,120.0,-1.0,0.9333333333333333,0.0,2.0,3.0,-3.0,0.0,2.0,3.0,-6.0,-1.219829059829065,0.7044247787610619,0.6507246376811594,A
Fulham,Sunderland,L Probert,15662.0,8.0,8.0,64.0,47.0,31.0,20.0,259.2,245.79999999999993,606.0,555.0,434.0,347.0,89.0,78.0,103.0,112.0,6.0,1.3,1.0,4.0,0.0,1.0,0.0,2.0,3.0,-5.0,18.327991452991455,0.7161716171617162,0.6252252252252253,A
West Ham,Stoke,C Foy,15663.0,8.0,9.0,47.0,42.0,28.0,23.0,200.80000000000013,226.80000000000007,603.0,666.0,372.0,379.0,51.0,68.0,113.0,100.0,6.0,1.2727272727272727,2.0,1.0,2.0,1.0,1.0,2.0,2.0,-2.0,5.948787739785921,0.6169154228855721,0.5690690690690691,D
Man United,QPR,L Probert,15668.0,3.0,7.0,67.0,71.0,38.0,36.0,294.8000000000002,248.30000000000015,832.0,519.0,635.0,351.0,57.0,65.0,120.0,100.0,23.0,2.769230769230769,4.0,0.0,1.0,4.0,0.0,2.0,3.0,-4.0,31.632742392942617,0.7632211538461539,0.6763005780346821,H
Wigan,Reading,H Webb,15668.0,7.0,7.0,57.0,60.0,33.0,29.0,272.70000000000005,210.1,611.0,603.0,448.0,340.0,82.0,83.0,123.0,107.0,1.0,1.0526315789473684,2.0,0.0,3.0,-3.0,1.0,3.0,1.0,0.0,-4.202864782276549,0.7332242225859247,0.5638474295190713,H
Aston Villa,Arsenal,L Mason,15668.0,7.0,2.0,45.0,69.0,30.0,40.0,199.10000000000028,313.00000000000006,527.0,847.0,292.0,660.0,87.0,69.0,130.0,114.0,-10.0,0.6428571428571429,1.0,1.0,3.0,-6.0,2.0,1.0,2.0,2.0,-9.988238787356437,0.5540796963946869,0.7792207792207793,D
Sunderland,West Brom,M Dean,15668.0,5.0,7.0,51.0,55.0,23.0,28.0,256.99999999999994,206.39999999999984,614.0,563.0,395.0,363.0,80.0,61.0,111.0,119.0,-10.0,0.6875,1.0,2.0,2.0,0.0,3.0,0.0,2.0,2.0,-11.201672515390662,0.6433224755700325,0.6447602131438721,A
Everton,Norwich,M Jones,15668.0,7.0,6.0,90.0,53.0,48.0,25.0,281.29999999999995,218.5000000000002,828.0,636.0,566.0,400.0,74.0,56.0,97.0,114.0,6.0,1.2608695652173914,1.0,3.0,1.0,0.0,3.0,2.0,0.0,3.0,-9.70503464543713,0.6835748792270532,0.6289308176100629,D
Stoke,Fulham,M Oliver,15668.0,4.0,5.0,49.0,68.0,26.0,39.0,231.70000000000005,250.39999999999992,665.0,647.0,394.0,467.0,58.0,92.0,108.0,105.0,-3.0,0.88,1.0,2.0,2.0,-2.0,1.0,3.0,1.0,-1.0,-5.227074453072635,0.5924812030075188,0.7217928902627512,H
Chelsea,Man City,C Foy,15669.0,4.0,3.0,67.0,86.0,40.0,42.0,262.1,303.3,794.0,939.0,595.0,739.0,55.0,61.0,129.0,120.0,-4.0,0.8918918918918919,1.0,2.0,2.0,0.0,4.0,1.0,0.0,8.0,-17.099149948178283,0.7493702770780857,0.7870074547390842,D
Southampton,Newcastle,M Atkinson,15669.0,8.0,2.0,63.0,71.0,35.0,35.0,271.69999999999976,221.4,814.0,513.0,551.0,303.0,81.0,65.0,110.0,115.0,-6.0,0.7391304347826086,1.0,1.0,3.0,-4.0,1.0,2.0,2.0,-1.0,-6.904920104050543,0.6769041769041769,0.5906432748538012,H
Swansea,Liverpool,J Moss,15669.0,8.0,2.0,56.0,86.0,35.0,46.0,245.70000000000027,271.7000000000002,618.0,752.0,445.0,550.0,86.0,72.0,118.0,121.0,1.0,1.0416666666666667,2.0,2.0,1.0,1.0,2.0,3.0,0.0,4.0,-2.988983807216627,0.7200647249190939,0.7313829787234043,D
Tottenham,West Ham,A Marriner,15669.0,2.0,5.0,59.0,56.0,36.0,36.0,213.2999999999999,227.5000000000001,455.0,652.0,283.0,401.0,112.0,40.0,124.0,111.0,-2.0,0.9285714285714286,1.0,0.0,4.0,-6.0,2.0,2.0,1.0,3.0,-15.266965256965264,0.621978021978022,0.6150306748466258,H
Aston Villa,Reading,L Probert,15671.0,2.0,3.0,46.0,68.0,34.0,34.0,187.20000000000027,200.1,505.0,567.0,292.0,330.0,81.0,79.0,134.0,107.0,0.0,1.0,1.0,2.0,2.0,-5.0,1.0,3.0,1.0,0.0,-3.1562558356676043,0.5782178217821782,0.582010582010582,H
Sunderland,QPR,A Marriner,15671.0,3.0,3.0,54.0,67.0,29.0,36.0,240.49999999999991,228.80000000000015,621.0,475.0,396.0,316.0,76.0,72.0,120.0,108.0,9.0,1.75,1.0,1.0,3.0,-2.0,0.0,1.0,4.0,-6.0,12.795378787878786,0.6376811594202898,0.6652631578947369,D
Swansea,West Brom,L Mason,15672.0,3.0,4.0,55.0,50.0,32.0,26.0,247.6000000000002,213.49999999999991,587.0,591.0,423.0,382.0,92.0,72.0,123.0,112.0,-9.0,0.7352941176470589,1.0,3.0,1.0,0.0,4.0,0.0,1.0,5.0,-11.245768652805822,0.7206132879045997,0.6463620981387479,H
