home,away,Referee,time,HRestTime,ARestTime,HAccS,AAccS,HAccST,AAccST,HAccP - AAccP,H/A,HWin,HDraw,HLose,H goal Diff,AWin,ADraw,ALose,A goal diff,moraldiff + h-a,y
Southampton,Swansea,A Marriner,15654.0,4.0,7.0,52.0,69.0,23.0,39.0,-8.0,0.6521739130434783,0.0,1.0,4.0,-8.0,1.0,2.0,2.0,-2.0,-13.868788227511924,D
Aston Villa,Man United,K Friend,15654.0,7.0,2.0,52.0,66.0,28.0,39.0,-15.0,0.5714285714285714,1.0,2.0,2.0,-2.0,4.0,0.0,1.0,6.0,-20.944641049841277,A
Everton,Sunderland,L Mason,15654.0,7.0,7.0,86.0,52.0,47.0,22.0,7.0,1.3333333333333333,1.0,4.0,0.0,2.0,1.0,2.0,2.0,-3.0,13.521672771672769,H
Arsenal,Fulham,P Dowd,15654.0,3.0,7.0,75.0,62.0,40.0,29.0,0.0,1.0,2.0,0.0,3.0,0.0,1.0,3.0,1.0,0.0,-6.3147568759840595,D
Wigan,West Brom,N Swarbrick,15654.0,7.0,4.0,52.0,67.0,33.0,33.0,-6.0,0.7857142857142857,2.0,1.0,2.0,0.0,2.0,1.0,2.0,1.0,0.717000040124006,A
Chelsea,Liverpool,H Webb,15655.0,3.0,2.0,66.0,81.0,43.0,41.0,12.0,1.5454545454545454,3.0,1.0,1.0,5.0,2.0,3.0,0.0,4.0,6.787213164161404,D
Man City,Tottenham,M Oliver,15655.0,4.0,2.0,96.0,80.0,54.0,46.0,5.0,1.1785714285714286,4.0,1.0,0.0,6.0,3.0,0.0,2.0,1.0,15.761440061606919,H
Newcastle,West Ham,M Dean,15655.0,2.0,7.0,51.0,54.0,22.0,33.0,-1.0,0.9615384615384616,1.0,3.0,1.0,-2.0,2.0,1.0,2.0,1.0,4.512363433667787,A
West Brom,Chelsea,M Oliver,15661.0,7.0,5.0,60.0,68.0,30.0,41.0,-4.0,0.8823529411764706,3.0,0.0,2.0,2.0,2.0,2.0,1.0,4.0,-6.477278356634219,H
Norwich,Man United,A Taylor,15661.0,7.0,6.0,50.0,67.0,24.0,38.0,-16.0,0.5675675675675675,2.0,2.0,1.0,-1.0,5.0,0.0,0.0,8.0,-20.579475164149564,H
QPR,Southampton,M Dean,15661.0,7.0,7.0,71.0,55.0,35.0,26.0,-1.0,0.9333333333333333,0.0,2.0,3.0,-3.0,0.0,2.0,3.0,-6.0,-1.219829059829065,A
Newcastle,Swansea,P Dowd,15661.0,6.0,7.0,57.0,66.0,28.0,42.0,1.0,1.0434782608695652,1.0,2.0,2.0,-3.0,1.0,3.0,1.0,0.0,-2.40996622825514,A
Liverpool,Wigan,K Friend,15661.0,5.0,7.0,80.0,58.0,40.0,36.0,1.0,1.0476190476190477,1.0,4.0,0.0,1.0,2.0,1.0,2.0,0.0,3.3789131920710886,H
Arsenal,Tottenham,H Webb,15661.0,7.0,6.0,76.0,76.0,44.0,42.0,-1.0,0.9629629629629629,2.0,1.0,2.0,1.0,2.0,0.0,3.0,-1.0,3.371547145664799,H
Man City,Aston Villa,J Moss,15661.0,6.0,6.0,91.0,43.0,50.0,27.0,16.0,1.8421052631578947,4.0,1.0,0.0,6.0,1.0,1.0,3.0,-3.0,28.782777057943917,H
Reading,Everton,M Atkinson,15661.0,7.0,7.0,56.0,85.0,31.0,48.0,-13.0,0.5666666666666667,0.0,4.0,1.0,-1.0,1.0,4.0,0.0,1.0,-16.045004668534073,H
Fulham,Sunderland,L Probert,15662.0,8.0,8.0,64.0,47.0,31.0,20.0,6.0,1.3,1.0,4.0,0.0,1.0,0.0,2.0,3.0,-5.0,18.327991452991455,A
West Ham,Stoke,C Foy,15663.0,8.0,9.0,47.0,42.0,28.0,23.0,6.0,1.2727272727272727,2.0,1.0,2.0,1.0,1.0,2.0,2.0,-2.0,5.948787739785921,D
Wigan,Reading,H Webb,15668.0,7.0,7.0,57.0,60.0,33.0,29.0,1.0,1.0526315789473684,2.0,0.0,3.0,-3.0,1.0,3.0,1.0,0.0,-4.202864782276549,H
Stoke,Fulham,M Oliver,15668.0,4.0,5.0,49.0,68.0,26.0,39.0,-3.0,0.88,1.0,2.0,2.0,-2.0,1.0,3.0,1.0,-1.0,-5.227074453072635,H
Sunderland,West Brom,M Dean,15668.0,5.0,7.0,51.0,55.0,23.0,28.0,-10.0,0.6875,1.0,2.0,2.0,0.0,3.0,0.0,2.0,2.0,-11.201672515390662,A
Everton,Norwich,M Jones,15668.0,7.0,6.0,90.0,53.0,48.0,25.0,6.0,1.2608695652173914,1.0,3.0,1.0,0.0,3.0,2.0,0.0,3.0,-9.705034645437133,D
Aston Villa,Arsenal,L Mason,15668.0,7.0,2.0,45.0,69.0,30.0,40.0,-10.0,0.6428571428571429,1.0,1.0,3.0,-6.0,2.0,1.0,2.0,2.0,-9.988238787356437,D
Man United,QPR,L Probert,15668.0,3.0,7.0,67.0,71.0,38.0,36.0,23.0,2.769230769230769,4.0,0.0,1.0,4.0,0.0,2.0,3.0,-4.0,31.632742392942617,H
Chelsea,Man City,C Foy,15669.0,4.0,3.0,67.0,86.0,40.0,42.0,-4.0,0.8918918918918919,1.0,2.0,2.0,0.0,4.0,1.0,0.0,8.0,-17.099149948178283,D
Southampton,Newcastle,M Atkinson,15669.0,8.0,2.0,63.0,71.0,35.0,35.0,-6.0,0.7391304347826086,1.0,1.0,3.0,-4.0,1.0,2.0,2.0,-1.0,-6.904920104050543,H
Swansea,Liverpool,J Moss,15669.0,8.0,2.0,56.0,86.0,35.0,46.0,1.0,1.0416666666666667,2.0,2.0,1.0,1.0,2.0,3.0,0.0,4.0,-2.988983807216627,D
Tottenham,West Ham,A Marriner,15669.0,2.0,5.0,59.0,56.0,36.0,36.0,-2.0,0.9285714285714286,1.0,0.0,4.0,-6.0,2.0,2.0,1.0,3.0,-15.266965256965262,H
Aston Villa,Reading,L Probert,15671.0,2.0,3.0,46.0,68.0,34.0,34.0,0.0,1.0,1.0,2.0,2.0,-5.0,1.0,3.0,1.0,0.0,-3.156255835667606,H
Sunderland,QPR,A Marriner,15671.0,3.0,3.0,54.0,67.0,29.0,36.0,9.0,1.75,1.0,1.0,3.0,-2.0,0.0,1.0,4.0,-6.0,12.795378787878786,D
Tottenham,Liverpool,P Dowd,15672.0,2.0,3.0,61.0,84.0,33.0,47.0,4.0,1.1666666666666667,2.0,0.0,3.0,-2.0,1.0,4.0,0.0,3.0,-8.75102952602953,H
Wigan,Man City,M Halsey,15672.0,4.0,2.0,66.0,76.0,37.0,36.0,-15.0,0.5945945945945946,3.0,0.0,2.0,-1.0,3.0,2.0,0.0,7.0,-16.697156519737163,A
Stoke,Newcastle,H Webb,15672.0,4.0,3.0,53.0,69.0,23.0,31.0,2.0,1.0909090909090908,2.0,2.0,1.0,1.0,1.0,1.0,3.0,-3.0,12.335782321954085,H
Everton,Arsenal,M Oliver,15672.0,4.0,3.0,94.0,69.0,53.0,39.0,1.0,1.0357142857142858,1.0,3.0,1.0,0.0,2.0,2.0,1.0,3.0,-3.7604247881935535,D
Man United,West Ham,M Jones,15672.0,4.0,2.0,69.0,57.0,40.0,34.0,11.0,1.4074074074074074,4.0,0.0,1.0,4.0,1.0,2.0,2.0,-2.0,17.144755781852552,H
Southampton,Norwich,M Clattenburg,15672.0,3.0,4.0,69.0,54.0,41.0,26.0,-4.0,0.8260869565217391,2.0,1.0,2.0,1.0,2.0,3.0,0.0,2.0,-10.962151427489967,D
Chelsea,Fulham,A Taylor,15672.0,2.0,4.0,61.0,59.0,34.0,36.0,9.0,1.375,0.0,3.0,2.0,-2.0,0.0,3.0,2.0,-3.0,9.235966437104956,D
