home,away,Referee,time,prevTimeDiff,HAccP,AAccP,hw,hd,hl,H goal Diff,aw,ad,al,A goal diff,y
Sunderland,Tottenham,L Mason,15703.0,3.0,23.0,34.0,3.0,0.0,2.0,1.0,3.0,1.0,1.0,7.0,A
Arsenal,Newcastle,C Foy,15703.0,7.0,32.0,21.0,3.0,1.0,1.0,4.0,2.0,0.0,3.0,0.0,H
Reading,West Ham,M Oliver,15703.0,3.0,11.0,25.0,0.0,1.0,4.0,-8.0,1.0,1.0,3.0,-1.0,H
Stoke,Southampton,M Clattenburg,15703.0,2.0,29.0,18.0,2.0,3.0,0.0,3.0,1.0,2.0,2.0,-1.0,D
Man United,West Brom,J Moss,15703.0,3.0,47.0,34.0,4.0,1.0,0.0,5.0,2.0,1.0,2.0,-1.0,H
Everton,Chelsea,H Webb,15704.0,4.0,34.0,37.0,3.0,2.0,0.0,3.0,3.0,1.0,1.0,9.0,A
QPR,Liverpool,A Taylor,15704.0,4.0,11.0,26.0,1.0,2.0,2.0,-1.0,3.0,0.0,2.0,2.0,A
West Ham,Norwich,M Clattenburg,15706.0,3.0,24.0,25.0,1.0,1.0,3.0,-1.0,2.0,0.0,3.0,-1.0,H
Wigan,Man United,A Marriner,15706.0,3.0,18.0,49.0,1.0,1.0,3.0,0.0,4.0,1.0,0.0,6.0,A
Man City,Stoke,M Oliver,15706.0,3.0,42.0,29.0,3.0,0.0,2.0,2.0,1.0,4.0,0.0,2.0,H
Southampton,Arsenal,L Probert,15706.0,3.0,18.0,34.0,1.0,2.0,2.0,-1.0,4.0,0.0,1.0,8.0,D
Swansea,Aston Villa,M Halsey,15706.0,3.0,28.0,18.0,1.0,2.0,2.0,-1.0,1.0,1.0,3.0,-13.0,D
Tottenham,Reading,H Webb,15706.0,3.0,36.0,13.0,3.0,1.0,1.0,5.0,1.0,1.0,3.0,-6.0,H
West Brom,Fulham,M Dean,15706.0,3.0,33.0,21.0,2.0,1.0,2.0,-2.0,1.0,1.0,3.0,-5.0,A
Liverpool,Sunderland,P Dowd,15707.0,2.0,28.0,22.0,3.0,0.0,2.0,4.0,3.0,0.0,2.0,2.0,H
Newcastle,Everton,M Atkinson,15707.0,3.0,20.0,33.0,1.0,0.0,4.0,-7.0,3.0,1.0,1.0,2.0,A
Chelsea,QPR,L Mason,15707.0,3.0,39.0,10.0,4.0,0.0,1.0,10.0,1.0,1.0,3.0,-4.0,A
Aston Villa,Southampton,M Halsey,15717.0,3.0,19.0,18.0,1.0,1.0,3.0,-13.0,1.0,3.0,1.0,0.0,A
Everton,Swansea,P Dowd,15717.0,4.0,33.0,26.0,3.0,1.0,1.0,2.0,1.0,3.0,1.0,0.0,D
Fulham,Wigan,M Clattenburg,15717.0,7.0,21.0,18.0,1.0,1.0,3.0,-5.0,1.0,0.0,4.0,-4.0,D
Norwich,Newcastle,A Taylor,15717.0,7.0,25.0,17.0,1.0,0.0,4.0,-3.0,1.0,0.0,4.0,-7.0,D
QPR,Tottenham,L Probert,15717.0,7.0,13.0,39.0,2.0,0.0,3.0,-3.0,4.0,1.0,0.0,8.0,D
Reading,West Brom,K Friend,15717.0,7.0,12.0,30.0,1.0,1.0,3.0,-5.0,2.0,1.0,2.0,-1.0,H
Stoke,Chelsea,A Marriner,15717.0,7.0,28.0,38.0,1.0,3.0,1.0,-1.0,4.0,0.0,1.0,11.0,A
Sunderland,West Ham,N Swarbrick,15717.0,7.0,21.0,26.0,2.0,0.0,3.0,-4.0,1.0,1.0,3.0,-2.0,H
Arsenal,Man City,M Dean,15718.0,7.0,34.0,42.0,4.0,1.0,0.0,10.0,4.0,0.0,1.0,6.0,A
Man United,Liverpool,H Webb,15718.0,7.0,52.0,31.0,4.0,1.0,0.0,9.0,3.0,0.0,2.0,6.0,H
Chelsea,Southampton,M Oliver,15721.0,4.0,38.0,21.0,4.0,0.0,1.0,13.0,1.0,3.0,1.0,0.0,D
